MAS: Financial Database - Domestic Interest Rates,,,,
,,,,
Domestic Interest Rates (Daily),,,,
Jan 2018 to May 2025,,,,
,,,,
,,,,
SORA Value Date,,,SORA Publication Date,SORA
2018,Jan,2,3-Jan-18,0.7915
,,3,4-Jan-18,1.0355
,,4,5-Jan-18,0.6058
,,5,8-Jan-18,0.3425
,,8,9-Jan-18,0.0458
,,9,10-Jan-18,0.056
,,10,11-Jan-18,0.1294
,,11,12-Jan-18,0.066
,,12,15-Jan-18,0.4538
,,15,16-Jan-18,0.1639
,,16,17-Jan-18,0.0973
,,17,18-Jan-18,0.138
,,18,19-Jan-18,0.0868
,,19,22-Jan-18,0.6715
,,22,23-Jan-18,0.6374
,,23,24-Jan-18,0.1786
,,24,25-Jan-18,0.1183
,,25,26-Jan-18,0.0602
,,26,29-Jan-18,0.1977
,,29,30-Jan-18,0.2863
,,30,31-Jan-18,0.6653
,,31,1-Feb-18,0.8294
,Feb,1,2-Feb-18,0.7742
,,2,5-Feb-18,0.9899
,,5,6-Feb-18,0.5491
,,6,7-Feb-18,0.6143
,,7,8-Feb-18,0.6509
,,8,9-Feb-18,0.8123
,,9,12-Feb-18,1.3314
,,12,13-Feb-18,1.391
,,13,14-Feb-18,1.1126
,,14,15-Feb-18,0.6005
,,15,19-Feb-18,0.5852
,,19,20-Feb-18,0.7581
,,20,21-Feb-18,0.916
,,21,22-Feb-18,1.1141
,,22,23-Feb-18,1.2325
,,23,26-Feb-18,1.5934
,,26,27-Feb-18,1.6497
,,27,28-Feb-18,1.5178
,,28,1-Mar-18,0.5943
,Mar,1,2-Mar-18,0.3726
,,2,5-Mar-18,0.5802
,,5,6-Mar-18,0.8453
,,6,7-Mar-18,0.7439
,,7,8-Mar-18,0.9541
,,8,9-Mar-18,0.8161
,,9,12-Mar-18,0.8321
,,12,13-Mar-18,0.7758
,,13,14-Mar-18,0.5956
,,14,15-Mar-18,0.5853
,,15,16-Mar-18,0.5777
,,16,19-Mar-18,0.2856
,,19,20-Mar-18,0.5764
,,20,21-Mar-18,0.671
,,21,22-Mar-18,0.9127
,,22,23-Mar-18,0.7604
,,23,26-Mar-18,0.7599
,,26,27-Mar-18,0.6705
,,27,28-Mar-18,0.7152
,,28,29-Mar-18,0.5858
,,29,2-Apr-18,0.7834
,Apr,2,3-Apr-18,0.6773
,,3,4-Apr-18,0.5953
,,4,5-Apr-18,0.4255
,,5,6-Apr-18,0.1524
,,6,9-Apr-18,0.1727
,,9,10-Apr-18,0.1867
,,10,11-Apr-18,0.2671
,,11,12-Apr-18,0.2775
,,12,13-Apr-18,0.2905
,,13,16-Apr-18,0.3699
,,16,17-Apr-18,0.3521
,,17,18-Apr-18,0.3924
,,18,19-Apr-18,0.4361
,,19,20-Apr-18,1.0692
,,20,23-Apr-18,1.3329
,,23,24-Apr-18,1.1291
,,24,25-Apr-18,0.8744
,,25,26-Apr-18,0.8638
,,26,27-Apr-18,0.9956
,,27,30-Apr-18,1.756
,,30,2-May-18,1.4725
,May,2,3-May-18,1.1115
,,3,4-May-18,1.0984
,,4,7-May-18,1.1747
,,7,8-May-18,1.3977
,,8,9-May-18,1.5624
,,9,10-May-18,1.5366
,,10,11-May-18,0.9983
,,11,14-May-18,0.8759
,,14,15-May-18,0.9905
,,15,16-May-18,0.7019
,,16,17-May-18,0.6264
,,17,18-May-18,0.4188
,,18,21-May-18,0.4564
,,21,22-May-18,0.6761
,,22,23-May-18,0.6852
,,23,24-May-18,1.2815
,,24,25-May-18,1.0365
,,25,28-May-18,1.4118
,,28,30-May-18,1.5135
,,30,31-May-18,1.5544
,,31,1-Jun-18,1.1205
,Jun,1,4-Jun-18,0.9958
,,4,5-Jun-18,1.431
,,5,6-Jun-18,1.5185
,,6,7-Jun-18,1.4606
,,7,8-Jun-18,1.0974
,,8,11-Jun-18,1.1256
,,11,12-Jun-18,1.0994
,,12,13-Jun-18,0.789
,,13,14-Jun-18,0.5849
,,14,18-Jun-18,0.7504
,,18,19-Jun-18,0.5232
,,19,20-Jun-18,0.4036
,,20,21-Jun-18,0.4929
,,21,22-Jun-18,0.5651
,,22,25-Jun-18,0.4658
,,25,26-Jun-18,0.6866
,,26,27-Jun-18,0.9323
,,27,28-Jun-18,0.8223
,,28,29-Jun-18,0.8296
,,29,2-Jul-18,1.3426
,Jul,2,3-Jul-18,0.9918
,,3,4-Jul-18,0.916
,,4,5-Jul-18,0.8344
,,5,6-Jul-18,0.8786
,,6,9-Jul-18,1.4412
,,9,10-Jul-18,1.4302
,,10,11-Jul-18,1.4064
,,11,12-Jul-18,1.3745
,,12,13-Jul-18,1.2384
,,13,16-Jul-18,1.1951
,,16,17-Jul-18,1.1635
,,17,18-Jul-18,0.7706
,,18,19-Jul-18,0.8579
,,19,20-Jul-18,0.9735
,,20,23-Jul-18,1.0492
,,23,24-Jul-18,1.4072
,,24,25-Jul-18,1.4046
,,25,26-Jul-18,0.9908
,,26,27-Jul-18,1.1911
,,27,30-Jul-18,1.4968
,,30,31-Jul-18,1.5623
,,31,1-Aug-18,1.7311
,Aug,1,2-Aug-18,1.8083
,,2,3-Aug-18,1.6714
,,3,6-Aug-18,1.8187
,,6,7-Aug-18,1.8285
,,7,8-Aug-18,1.4463
,,8,10-Aug-18,1.3192
,,10,13-Aug-18,1.4192
,,13,14-Aug-18,1.7705
,,14,15-Aug-18,1.4315
,,15,16-Aug-18,1.6876
,,16,17-Aug-18,1.0175
,,17,20-Aug-18,0.8028
,,20,21-Aug-18,0.7479
,,21,23-Aug-18,1.224
,,23,24-Aug-18,1.1864
,,24,27-Aug-18,1.546
,,27,28-Aug-18,1.5029
,,28,29-Aug-18,1.3932
,,29,30-Aug-18,1.358
,,30,31-Aug-18,1.1073
,,31,3-Sept-18,1.0628
,Sep,3,4-Sept-18,0.9531
,,4,5-Sept-18,1.0603
,,5,6-Sept-18,0.6039
,,6,7-Sept-18,0.68
,,7,10-Sept-18,0.7885
,,10,11-Sept-18,0.6444
,,11,12-Sept-18,0.6249
,,12,13-Sept-18,0.8635
,,13,14-Sept-18,0.8372
,,14,17-Sept-18,1.0121
,,17,18-Sept-18,1.2431
,,18,19-Sept-18,1.2587
,,19,20-Sept-18,1.3053
,,20,21-Sept-18,1.3883
,,21,24-Sept-18,1.4172
,,24,25-Sept-18,1.1161
,,25,26-Sept-18,1.2211
,,26,27-Sept-18,1.0801
,,27,28-Sept-18,1.011
,,28,1-Oct-18,1.1084
,Oct,1,2-Oct-18,1.1854
,,2,3-Oct-18,1.0854
,,3,4-Oct-18,1.1103
,,4,5-Oct-18,1.273
,,5,8-Oct-18,1.2754
,,8,9-Oct-18,1.0762
,,9,10-Oct-18,1.1576
,,10,11-Oct-18,1.0035
,,11,12-Oct-18,1.1007
,,12,15-Oct-18,1.1695
,,15,16-Oct-18,1.1025
,,16,17-Oct-18,0.941
,,17,18-Oct-18,1.0147
,,18,19-Oct-18,1.1154
,,19,22-Oct-18,1.3026
,,22,23-Oct-18,1.2159
