place_id,name,business_status,geometry,user_ratings_total,rating,types,vicinity,permanently_closed,lat,lng
ChIJre2fc8Yb2jERwyPFPZU3xwY,Podiatry Quest - Harbourfront,OPERATIONAL,"{'location': {'lat': 1.2643925, 'lng': 103.8202797}, 'viewport': {'northeast': {'lat': 1.265792780291502, 'lng': 103.8214289302915}, 'southwest': {'lat': 1.263094819708498, 'lng': 103.8187309697085}}}",28.0,4.9,"['hospital', 'doctor', 'health', 'point_of_interest', 'establishment']","1 Maritime Square, #09-10 Harbourfront Centre",,1.2643925,103.8202797
ChIJiSUuyMIb2jERqWe9WvvfeTo,Kwelin Acupuncture Clinic And Medical Hall,OPERATIONAL,"{'location': {'lat': 1.2716406, 'lng': 103.8092473}, 'viewport': {'northeast': {'lat': 1.273056280291502, 'lng': 103.8105614302915}, 'southwest': {'lat': 1.270358319708498, 'lng': 103.8078634697085}}}",3.0,2.3,"['doctor', 'local_government_office', 'hospital', 'health', 'point_of_interest', 'establishment']","Telok Blangah Drive, #01-175 Block 45",,1.2716406,103.8092473
ChIJie6-A2sZ2jERzu2nw-uh-6Q,Citymed Health Associates Pte Ltd,OPERATIONAL,"{'location': {'lat': 1.2729042, 'lng': 103.8422086}, 'viewport': {'northeast': {'lat': 1.274237980291502, 'lng': 103.8435165302915}, 'southwest': {'lat': 1.271540019708498, 'lng': 103.8408185697085}}}",21.0,3.4,"['hospital', 'health', 'point_of_interest', 'establishment']","19 Keppel Road, Singapore",,1.2729042,103.8422086
ChIJK0_IyBsb2jER6pnKpo3VQiE,LIFT Clinic,OPERATIONAL,"{'location': {'lat': 1.2792617, 'lng': 103.7859138}, 'viewport': {'northeast': {'lat': 1.280580730291502, 'lng': 103.7871710802915}, 'southwest': {'lat': 1.277882769708498, 'lng': 103.7844731197085}}}",12.0,5.0,"['hospital', 'health', 'point_of_interest', 'establishment']","218 Pasir Panjang Road, #02-08",,1.2792617,103.7859138
ChIJ0xjKRscb2jERRbY1LU1JbkY,The Clinic Group @ Business City,OPERATIONAL,"{'location': {'lat': 1.275215, 'lng': 103.7991181}, 'viewport': {'northeast': {'lat': 1.276706480291502, 'lng': 103.8005250802915}, 'southwest': {'lat': 1.274008519708498, 'lng': 103.7978271197085}}}",175.0,4.3,"['physiotherapist', 'hospital', 'doctor', 'health', 'point_of_interest', 'establishment']","20 Pasir Panjang Road, #02-26, 20W Mapletree Business City II",,1.275215,103.7991181
ChIJ0xjKRscb2jERRbY1LU1JbkY,The Clinic Group @ Business City,OPERATIONAL,"{'location': {'lat': 1.275215, 'lng': 103.7991181}, 'viewport': {'northeast': {'lat': 1.276706480291502, 'lng': 103.8005250802915}, 'southwest': {'lat': 1.274008519708498, 'lng': 103.7978271197085}}}",175.0,4.3,"['physiotherapist', 'hospital', 'doctor', 'health', 'point_of_interest', 'establishment']","20 Pasir Panjang Road, #02-26, 20W Mapletree Business City II",,1.275215,103.7991181
ChIJiSUuyMIb2jERqWe9WvvfeTo,Kwelin Acupuncture Clinic And Medical Hall,OPERATIONAL,"{'location': {'lat': 1.2716406, 'lng': 103.8092473}, 'viewport': {'northeast': {'lat': 1.273056280291502, 'lng': 103.8105614302915}, 'southwest': {'lat': 1.270358319708498, 'lng': 103.8078634697085}}}",3.0,2.3,"['hospital', 'local_government_office', 'doctor', 'health', 'point_of_interest', 'establishment']","Telok Blangah Drive, #01-175 Block 45",,1.2716406,103.8092473
ChIJYVs6y14b2jERpyi-lnqV7Dc,HeartlandHealth Telok Blangah Drive,OPERATIONAL,"{'location': {'lat': 1.2739167, 'lng': 103.8085579}, 'viewport': {'northeast': {'lat': 1.275216080291502, 'lng': 103.8097839802915}, 'southwest': {'lat': 1.272518119708498, 'lng': 103.8070860197085}}}",52.0,3.8,"['hospital', 'doctor', 'health', 'point_of_interest', 'establishment']","77 Telok Blangah Drive, #01-244",,1.2739167,103.8085579
ChIJNUdVdVQb2jERhJequCHl5Kg,Chung & Ee Medical Clinic,OPERATIONAL,"{'location': {'lat': 1.2778441, 'lng': 103.8197434}, 'viewport': {'northeast': {'lat': 1.279226230291502, 'lng': 103.8211943302915}, 'southwest': {'lat': 1.276528269708498, 'lng': 103.8184963697085}}}",73.0,4.0,"['hospital', 'doctor', 'health', 'point_of_interest', 'establishment']","10 Telok Blangah Crescent, #01-151",,1.2778441,103.8197434
ChIJNUdVdVQb2jERhJequCHl5Kg,Chung & Ee Medical Clinic,OPERATIONAL,"{'location': {'lat': 1.2778441, 'lng': 103.8197434}, 'viewport': {'northeast': {'lat': 1.279226230291502, 'lng': 103.8211943302915}, 'southwest': {'lat': 1.276528269708498, 'lng': 103.8184963697085}}}",73.0,4.0,"['hospital', 'doctor', 'health', 'point_of_interest', 'establishment']","10 Telok Blangah Crescent, #01-151",,1.2778441,103.8197434
ChIJx8_UezAZ2jERqoA1xjM6H7A,Bukit Merah Family Clinic,OPERATIONAL,"{'location': {'lat': 1.2796169, 'lng': 103.8272869}, 'viewport': {'northeast': {'lat': 1.281074480291502, 'lng': 103.8287094302915}, 'southwest': {'lat': 1.278376519708498, 'lng': 103.8260114697085}}}",49.0,5.0,"['hospital', 'health', 'point_of_interest', 'establishment']","133 Jalan Bukit Merah, #01-1516",,1.2796169,103.8272869
ChIJ8V4tsWUZ2jER5nsnHOSSdLk,Mao Medical Centre & Surgery,OPERATIONAL,"{'location': {'lat': 1.2772808, 'lng': 103.8318826}, 'viewport': {'northeast': {'lat': 1.278704830291502, 'lng': 103.8331919802915}, 'southwest': {'lat': 1.276006869708498, 'lng': 103.8304940197085}}}",58.0,4.9,"['hospital', 'health', 'point_of_interest', 'establishment']","149 Silat Avenue, Singapore",,1.2772808,103.8318826
ChIJjekKXQAZ2jERXJ0E0cTmEA8,SGH Emergency / NNI Building,OPERATIONAL,"{'location': {'lat': 1.277455, 'lng': 103.8335609}, 'viewport': {'northeast': {'lat': 1.278633180291502, 'lng': 103.8351248302915}, 'southwest': {'lat': 1.275935219708498, 'lng': 103.8324268697085}}}",6.0,4.3,"['hospital', 'health', 'point_of_interest', 'establishment']",1 Hospital Boulevard,,1.277455,103.8335609
ChIJOTESzlAZ2jER_RXJCqO4rL8,Singapore General Hospital Block 2 & 3,OPERATIONAL,"{'location': {'lat': 1.2784612, 'lng': 103.8346289}, 'viewport': {'northeast': {'lat': 1.279787730291502, 'lng': 103.8360052302915}, 'southwest': {'lat': 1.277089769708498, 'lng': 103.8333072697085}}}",35.0,2.8,"['hospital', 'health', 'point_of_interest', 'establishment']","Blk 3, Level 1, Singapore General Hospital, Outram Road",,1.2784612,103.8346289
ChIJz_l8rEsZ2jERVy_d_gNnz64,Centre for Assisted Reproduction (CARE),OPERATIONAL,"{'location': {'lat': 1.2793339, 'lng': 103.8342732}, 'viewport': {'northeast': {'lat': 1.280889730291502, 'lng': 103.8355515302915}, 'southwest': {'lat': 1.278191769708498, 'lng': 103.8328535697085}}}",1.0,5.0,"['hospital', 'health', 'point_of_interest', 'establishment']","Outram Road, 5, Level 1 Hospital, Block, Singapore",,1.2793339,103.8342732
ChIJL9gO7IkZ2jERbdezQC9PENQ,Diagnostic Radiology Department,OPERATIONAL,"{'location': {'lat': 1.277657, 'lng': 103.8354837}, 'viewport': {'northeast': {'lat': 1.279153330291502, 'lng': 103.8367807802915}, 'southwest': {'lat': 1.276455369708498, 'lng': 103.8340828197085}}}",2.0,5.0,"['hospital', 'health', 'point_of_interest', 'establishment']","10 Hospital Boulevard, Singapore",,1.277657,103.8354837
ChIJV9yYHJwZ2jER-eZ3nnZ-Qrk,SGH Health Development Fund,OPERATIONAL,"{'location': {'lat': 1.277657, 'lng': 103.8354837}, 'viewport': {'northeast': {'lat': 1.279153330291502, 'lng': 103.8367807802915}, 'southwest': {'lat': 1.276455369708498, 'lng': 103.8340828197085}}}",,,"['hospital', 'health', 'point_of_interest', 'establishment']","10 Hospital Boulevard, Level 6, Singapore",,1.277657,103.8354837
ChIJY3qabSEZ2jERwqac13rPcIw,Ren Tai TCM Medical,OPERATIONAL,"{'location': {'lat': 1.2801209, 'lng': 103.8283161}, 'viewport': {'northeast': {'lat': 1.281516630291502, 'lng': 103.8296545302915}, 'southwest': {'lat': 1.278818669708498, 'lng': 103.8269565697085}}}",12.0,5.0,"['hospital', 'health', 'point_of_interest', 'establishment']","Block 131 Jalan Bukit Merah, #01-1571",,1.2801209,103.8283161
ChIJ2VzqOGwZ2jER5s2ywTd6A3s,The Pinnacle Medical Aesthetics & Wellness,OPERATIONAL,"{'location': {'lat': 1.276612, 'lng': 103.840361}, 'viewport': {'northeast': {'lat': 1.277937730291502, 'lng': 103.8416529302915}, 'southwest': {'lat': 1.275239769708498, 'lng': 103.8389549697085}}}",,,"['hospital', 'health', 'point_of_interest', 'establishment']","120 Cantonment Road, Marine House, Singapura",,1.276612,103.840361
