place_id,name,business_status,geometry,price_level,user_ratings_total,rating,types,vicinity,permanently_closed,lat,lng,fetch_date
ChIJRSRB2rYe2jERmG7iI6JR2bA,"ONE°15 Marina Sentosa Cove, Singapore",OPERATIONAL,"{'location': {'lat': 1.2455711, 'lng': 103.8397398}, 'viewport': {'northeast': {'lat': 1.247003530291502, 'lng': 103.8408509302915}, 'southwest': {'lat': 1.244305569708498, 'lng': 103.8381529697085}}}",,1933.0,4.5,"['lodging', 'point_of_interest', 'establishment']","11 Cove Drive, #01-01, Sentosa Cove, Singapore",,1.2455711,103.8397398,080625
ChIJyyaE0q4e2jERSZ9xGmqPcI0,Sofitel Singapore Sentosa Resort & Spa,OPERATIONAL,"{'location': {'lat': 1.2457019, 'lng': 103.8277056}, 'viewport': {'northeast': {'lat': 1.246819180291502, 'lng': 103.8290227302915}, 'southwest': {'lat': 1.244121219708498, 'lng': 103.8263247697085}}}",,4713.0,4.2,"['lodging', 'point_of_interest', 'establishment']","2 Bukit Manis Road, Sentosa",,1.2457019,103.8277056,080625
ChIJ7xZ3TVUZ2jERfjDHnlIvir8,Amara Sanctuary Sentosa,OPERATIONAL,"{'location': {'lat': 1.2520799, 'lng': 103.822159}, 'viewport': {'northeast': {'lat': 1.253716430291502, 'lng': 103.8233951802915}, 'southwest': {'lat': 1.251018469708498, 'lng': 103.8206972197085}}}",,3643.0,4.2,"['lodging', 'point_of_interest', 'establishment']","Sentosa Island, 1 Larkhill Road",,1.2520799,103.822159,080625
ChIJF75fVaoe2jERZYVUuHEz-lQ,Capella Singapore,OPERATIONAL,"{'location': {'lat': 1.2497222, 'lng': 103.8241667}, 'viewport': {'northeast': {'lat': 1.251142080291502, 'lng': 103.8256752302915}, 'southwest': {'lat': 1.248444119708498, 'lng': 103.8229772697085}}}",,2533.0,4.7,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']","1 The Knolls, Sentosa Island",,1.2497222,103.8241667,080625
ChIJ40XVAzcf2jERuF2o1a5MnJY,Capella The Club Residences Singapore,OPERATIONAL,"{'location': {'lat': 1.2496291, 'lng': 103.8243003}, 'viewport': {'northeast': {'lat': 1.251071930291502, 'lng': 103.8256779302915}, 'southwest': {'lat': 1.248373969708498, 'lng': 103.8229799697085}}}",,7.0,4.4,"['lodging', 'point_of_interest', 'establishment']","1 The Knolls, Sentosa Island",,1.2496291,103.8243003,080625
ChIJ0cGco1Qf2jERVBqlD7ZvNQ0,Raffles Sentosa Singapore,OPERATIONAL,"{'location': {'lat': 1.2479824, 'lng': 103.8276125}, 'viewport': {'northeast': {'lat': 1.249335880291502, 'lng': 103.8289905302915}, 'southwest': {'lat': 1.246637919708498, 'lng': 103.8262925697085}}}",,79.0,4.5,"['lodging', 'point_of_interest', 'establishment']","4 Bukit Manis Road, Sentosa",,1.2479824,103.8276125,080625
ChIJuTHmn0Af2jERsOSCw0FZ5bI,Sentosa,OPERATIONAL,"{'location': {'lat': 1.2482782, 'lng': 103.8280675}, 'viewport': {'northeast': {'lat': 1.249588030291502, 'lng': 103.8294091302915}, 'southwest': {'lat': 1.246890069708498, 'lng': 103.8267111697085}}}",,10.0,4.6,"['lodging', 'point_of_interest', 'establishment']",39 Artillery Avenue,,1.2482782,103.8280675,080625
ChIJR5TzUlUZ2jERi_19w4mBzT0,Lobby Amara Sanctuary Resort,OPERATIONAL,"{'location': {'lat': 1.2520836, 'lng': 103.8220038}, 'viewport': {'northeast': {'lat': 1.253359730291502, 'lng': 103.8233515302915}, 'southwest': {'lat': 1.250661769708498, 'lng': 103.8206535697085}}}",,,,"['lodging', 'point_of_interest', 'establishment']",3 Gunner Lane,,1.2520836,103.8220038,080625
ChIJvR2rFD4f2jERkL8f53SAkNQ,Service and Venue Solution,OPERATIONAL,"{'location': {'lat': 1.24517, 'lng': 103.827905}, 'viewport': {'northeast': {'lat': 1.246531830291502, 'lng': 103.8292692302915}, 'southwest': {'lat': 1.243833869708498, 'lng': 103.8265712697085}}}",,,,"['lodging', 'point_of_interest', 'establishment']",Sentosa,,1.24517,103.827905,080625
ChIJyyaE0q4e2jERSZ9xGmqPcI0,Sofitel Singapore Sentosa Resort & Spa,OPERATIONAL,"{'location': {'lat': 1.2457019, 'lng': 103.8277056}, 'viewport': {'northeast': {'lat': 1.246819180291502, 'lng': 103.8290227302915}, 'southwest': {'lat': 1.244121219708498, 'lng': 103.8263247697085}}}",,4713.0,4.2,"['lodging', 'point_of_interest', 'establishment']","2 Bukit Manis Road, Sentosa",,1.2457019,103.8277056,080625
ChIJFScMQgAf2jER3zVp9Eazi_Y,Ocean,OPERATIONAL,"{'location': {'lat': 1.2472329, 'lng': 103.8316812}, 'viewport': {'northeast': {'lat': 1.248766530291502, 'lng': 103.8330203802915}, 'southwest': {'lat': 1.246068569708498, 'lng': 103.8303224197085}}}",,,,"['lodging', 'point_of_interest', 'establishment']",Sentosa,,1.2472329,103.8316812,080625
ChIJNXsvnzgf2jERp0apzFybAg0,Rakib,OPERATIONAL,"{'location': {'lat': 1.2494041, 'lng': 103.8303209}, 'viewport': {'northeast': {'lat': 1.250550580291502, 'lng': 103.8317358302915}, 'southwest': {'lat': 1.247852619708498, 'lng': 103.8290378697085}}}",,1.0,5.0,"['lodging', 'point_of_interest', 'establishment']",Sentosa girls hostel,,1.2494041,103.8303209,080625
ChIJuTHmn0Af2jERsOSCw0FZ5bI,Sentosa,OPERATIONAL,"{'location': {'lat': 1.2482782, 'lng': 103.8280675}, 'viewport': {'northeast': {'lat': 1.249588030291502, 'lng': 103.8294091302915}, 'southwest': {'lat': 1.246890069708498, 'lng': 103.8267111697085}}}",,10.0,4.6,"['lodging', 'point_of_interest', 'establishment']",39 Artillery Avenue,,1.2482782,103.8280675,080625
ChIJ0cGco1Qf2jERVBqlD7ZvNQ0,Raffles Sentosa Singapore,OPERATIONAL,"{'location': {'lat': 1.2479824, 'lng': 103.8276125}, 'viewport': {'northeast': {'lat': 1.249335880291502, 'lng': 103.8289905302915}, 'southwest': {'lat': 1.246637919708498, 'lng': 103.8262925697085}}}",,79.0,4.5,"['lodging', 'point_of_interest', 'establishment']","4 Bukit Manis Road, Sentosa",,1.2479824,103.8276125,080625
ChIJvR2rFD4f2jERkL8f53SAkNQ,Service and Venue Solution,OPERATIONAL,"{'location': {'lat': 1.24517, 'lng': 103.827905}, 'viewport': {'northeast': {'lat': 1.246531830291502, 'lng': 103.8292692302915}, 'southwest': {'lat': 1.243833869708498, 'lng': 103.8265712697085}}}",,,,"['lodging', 'point_of_interest', 'establishment']",Sentosa,,1.24517,103.827905,080625
ChIJRSRB2rYe2jERmG7iI6JR2bA,"ONE°15 Marina Sentosa Cove, Singapore",OPERATIONAL,"{'location': {'lat': 1.2455711, 'lng': 103.8397398}, 'viewport': {'northeast': {'lat': 1.247003530291502, 'lng': 103.8408509302915}, 'southwest': {'lat': 1.244305569708498, 'lng': 103.8381529697085}}}",,1933.0,4.5,"['lodging', 'point_of_interest', 'establishment']","11 Cove Drive, #01-01, Sentosa Cove, Singapore",,1.2455711,103.8397398,080625
ChIJVV19ebYe2jERR-8J-QgvBlY,W Singapore - Sentosa Cove,OPERATIONAL,"{'location': {'lat': 1.2462857, 'lng': 103.8423347}, 'viewport': {'northeast': {'lat': 1.247705880291502, 'lng': 103.8437137802915}, 'southwest': {'lat': 1.245007919708498, 'lng': 103.8410158197085}}}",,3422.0,4.5,"['lodging', 'point_of_interest', 'establishment']",21 Ocean Way,,1.2462857,103.8423347,080625
ChIJVV19ebYe2jERR-8J-QgvBlY,W Singapore - Sentosa Cove,OPERATIONAL,"{'location': {'lat': 1.2462857, 'lng': 103.8423347}, 'viewport': {'northeast': {'lat': 1.247705880291502, 'lng': 103.8437137802915}, 'southwest': {'lat': 1.245007919708498, 'lng': 103.8410158197085}}}",,3422.0,4.5,"['lodging', 'point_of_interest', 'establishment']",21 Ocean Way,,1.2462857,103.8423347,080625
ChIJ2fMLhvkb2jERGXi1umRWDuE,Siloso Beach Resort,OPERATIONAL,"{'location': {'lat': 1.2549599, 'lng': 103.8144917}, 'viewport': {'northeast': {'lat': 1.256544780291502, 'lng': 103.8158439802915}, 'southwest': {'lat': 1.253846819708498, 'lng': 103.8131460197085}}}",,2793.0,4.2,"['lodging', 'point_of_interest', 'establishment']",51 Imbiah Walk,,1.2549599,103.8144917,080625
ChIJRWwV3VgZ2jERQocSGmEbvAY,Equarius Hotel,OPERATIONAL,"{'location': {'lat': 1.2581538, 'lng': 103.8166912}, 'viewport': {'northeast': {'lat': 1.259615930291502, 'lng': 103.8178884302915}, 'southwest': {'lat': 1.256917969708498, 'lng': 103.8151904697085}}}",,1855.0,4.3,"['lodging', 'point_of_interest', 'establishment']","8 Sentosa Gateway, Equarius Hotel",,1.2581538,103.8166912,080625
ChIJMxZMLf4b2jERhPEQ3rajecw,Hotel Michael,OPERATIONAL,"{'location': {'lat': 1.2547727, 'lng': 103.8200881}, 'viewport': {'northeast': {'lat': 1.256003580291502, 'lng': 103.8214243802915}, 'southwest': {'lat': 1.253305619708498, 'lng': 103.8187264197085}}}",,1619.0,4.1,"['lodging', 'point_of_interest', 'establishment']","8 Sentosa Gateway, Hotel Michael",,1.2547727,103.8200881,080625
ChIJLR75v_0b2jERJrR28stYwMU,Resorts World Sentosa,OPERATIONAL,"{'location': {'lat': 1.255179, 'lng': 103.8218107}, 'viewport': {'northeast': {'lat': 1.25598035, 'lng': 103.82968245}, 'southwest': {'lat': 1.25277495, 'lng': 103.81524545}}}",,89141.0,4.6,"['casino', 'tourist_attraction', 'aquarium', 'lodging', 'point_of_interest', 'establishment']",8 Sentosa Gateway,,1.255179,103.8218107,080625
ChIJnTehkP0b2jERlhQlqC00fKY,Equarius Villas,OPERATIONAL,"{'location': {'lat': 1.2594154, 'lng': 103.8166621}, 'viewport': {'northeast': {'lat': 1.260280180291502, 'lng': 103.8178689302915}, 'southwest': {'lat': 1.257582219708498, 'lng': 103.8151709697085}}}",,336.0,4.5,"['lodging', 'point_of_interest', 'establishment']","8 Sentosa Gateway, Equarius Villas",,1.2594154,103.8166621,080625
ChIJcwqfg_4b2jERDZyzprwB_I0,Equarius TreeTop Lofts,OPERATIONAL,"{'location': {'lat': 1.2562586, 'lng': 103.818196}, 'viewport': {'northeast': {'lat': 1.257638630291502, 'lng': 103.8196703302915}, 'southwest': {'lat': 1.254940669708498, 'lng': 103.8169723697085}}}",,8.0,4.4,"['lodging', 'point_of_interest', 'establishment']","8 Sentosa Gateway, Equarius TreeTop Lofts",,1.2562586,103.818196,080625
ChIJoYZIk1QZ2jER4viuyf1My10,Crockfords Tower,OPERATIONAL,"{'location': {'lat': 1.2555443, 'lng': 103.8195699}, 'viewport': {'northeast': {'lat': 1.256447880291502, 'lng': 103.8208674302915}, 'southwest': {'lat': 1.253749919708498, 'lng': 103.8181694697085}}}",,248.0,4.6,"['lodging', 'point_of_interest', 'establishment']","8 Sentosa Gateway, Crockfords Tower",,1.2555443,103.8195699,080625
ChIJAx_9Kiwb2jERZZ3APbQKD8o,Hotel Ora,OPERATIONAL,"{'location': {'lat': 1.2561482, 'lng': 103.8189796}, 'viewport': {'northeast': {'lat': 1.257521180291502, 'lng': 103.8201403302915}, 'southwest': {'lat': 1.254823219708498, 'lng': 103.8174423697085}}}",,260.0,4.2,"['lodging', 'point_of_interest', 'establishment']","8 Sentosa Gateway, Hotel Ora",,1.2561482,103.8189796,080625
ChIJLQqkTf8b2jER3toBWOYPsHo,C Side,OPERATIONAL,"{'location': {'lat': 1.2524921, 'lng': 103.8160224}, 'viewport': {'northeast': {'lat': 1.25345445, 'lng': 103.8208353}, 'southwest': {'lat': 1.25020545, 'lng': 103.8144181}}}",,1.0,5.0,"['lodging', 'point_of_interest', 'establishment']",50 Siloso Beach Walk,,1.2524921,103.8160224,080625
ChIJlTBfMgAf2jERGXdrDUw973I,Oasia Resort Sentosa (Valet Dropoff Point),OPERATIONAL,"{'location': {'lat': 1.2528658, 'lng': 103.8191608}, 'viewport': {'northeast': {'lat': 1.254233080291502, 'lng': 103.8205379802915}, 'southwest': {'lat': 1.251535119708498, 'lng': 103.8178400197085}}}",,,,"['lodging', 'point_of_interest', 'establishment']",,,1.2528658,103.8191608,080625
ChIJG1RkVqIb2jERpEDVaiftaCw,Equarius Ocean Suites,OPERATIONAL,"{'location': {'lat': 1.2580814, 'lng': 103.8166328}, 'viewport': {'northeast': {'lat': 1.259343180291502, 'lng': 103.8179693302915}, 'southwest': {'lat': 1.256645219708498, 'lng': 103.8152713697085}}}",,17.0,4.2,"['lodging', 'point_of_interest', 'establishment']","Equarius Hotel, 8 Sentosa Gateway",,1.2580814,103.8166328,080625
ChIJsfuwV2Yb2jERfMeafiI2P0c,Oasia Resort Sentosa,OPERATIONAL,"{'location': {'lat': 1.2531961, 'lng': 103.8194919}, 'viewport': {'northeast': {'lat': 1.254567580291502, 'lng': 103.8206499302915}, 'southwest': {'lat': 1.251869619708498, 'lng': 103.8179519697085}}}",,1693.0,4.3,"['lodging', 'point_of_interest', 'establishment']","23 Beach View Road, Palawan Ridge Sentosa Island",,1.2531961,103.8194919,080625
ChIJGTclM_wb2jERMfjjLAEv90A,"The Laurus, a Luxury Collection Resort, Singapore",OPERATIONAL,"{'location': {'lat': 1.2575991, 'lng': 103.8187459}, 'viewport': {'northeast': {'lat': 1.258975830291502, 'lng': 103.8200433302915}, 'southwest': {'lat': 1.256277869708498, 'lng': 103.8173453697085}}}",,,,"['lodging', 'point_of_interest', 'establishment']","8 Sentosa Gateway, Singapore",,1.2575991,103.8187459,080625
ChIJBTwM6Z4b2jERBqlrTzo6KYI,The Events Centre,OPERATIONAL,"{'location': {'lat': 1.253344, 'lng': 103.820164}, 'viewport': {'northeast': {'lat': 1.254593330291502, 'lng': 103.8216490802915}, 'southwest': {'lat': 1.251895369708498, 'lng': 103.8189511197085}}}",,4.0,4.3,"['lodging', 'point_of_interest', 'establishment']",,,1.253344,103.820164,080625
ChIJy1TCyP8b2jERs27WShnpTQE,The Outpost Hotel Sentosa,OPERATIONAL,"{'location': {'lat': 1.2521396, 'lng': 103.8199556}, 'viewport': {'northeast': {'lat': 1.253835380291502, 'lng': 103.8212068802915}, 'southwest': {'lat': 1.251137419708498, 'lng': 103.8185089197085}}}",,734.0,4.3,"['lodging', 'point_of_interest', 'establishment']","10 Artillery Avenue, #03-01 Sentosa island",,1.2521396,103.8199556,080625
ChIJnaclKngb2jERIZvtEgenn8w,Village Hotel Sentosa,OPERATIONAL,"{'location': {'lat': 1.2523958, 'lng': 103.8201982}, 'viewport': {'northeast': {'lat': 1.253870030291502, 'lng': 103.8212927802915}, 'southwest': {'lat': 1.251172069708498, 'lng': 103.8185948197085}}}",,1610.0,4.3,"['lodging', 'point_of_interest', 'establishment']","10 Artillery Ave, #02-01 Palawan Ridge, Sentosa Island",,1.2523958,103.8201982,080625
ChIJlYAlZG8b2jERn9bsnHqwjic,xixizhaotou,OPERATIONAL,"{'location': {'lat': 1.2560833, 'lng': 103.8126506}, 'viewport': {'northeast': {'lat': 1.257359680291502, 'lng': 103.8139679302915}, 'southwest': {'lat': 1.254661719708498, 'lng': 103.8112699697085}}}",,,,"['lodging', 'point_of_interest', 'establishment']",Opp Sapphire Pavilion,,1.2560833,103.8126506,080625
ChIJLR75v_0b2jERJrR28stYwMU,Resorts World Sentosa,OPERATIONAL,"{'location': {'lat': 1.255179, 'lng': 103.8218107}, 'viewport': {'northeast': {'lat': 1.25598035, 'lng': 103.82968245}, 'southwest': {'lat': 1.25277495, 'lng': 103.81524545}}}",,89141.0,4.6,"['tourist_attraction', 'aquarium', 'casino', 'lodging', 'point_of_interest', 'establishment']",8 Sentosa Gateway,,1.255179,103.8218107,080625
ChIJMxZMLf4b2jERhPEQ3rajecw,Hotel Michael,OPERATIONAL,"{'location': {'lat': 1.2547727, 'lng': 103.8200881}, 'viewport': {'northeast': {'lat': 1.256003580291502, 'lng': 103.8214243802915}, 'southwest': {'lat': 1.253305619708498, 'lng': 103.8187264197085}}}",,1619.0,4.1,"['lodging', 'point_of_interest', 'establishment']","8 Sentosa Gateway, Hotel Michael",,1.2547727,103.8200881,080625
ChIJ7xZ3TVUZ2jERfjDHnlIvir8,Amara Sanctuary Sentosa,OPERATIONAL,"{'location': {'lat': 1.2520799, 'lng': 103.822159}, 'viewport': {'northeast': {'lat': 1.253716430291502, 'lng': 103.8233951802915}, 'southwest': {'lat': 1.251018469708498, 'lng': 103.8206972197085}}}",,3643.0,4.2,"['lodging', 'point_of_interest', 'establishment']","Sentosa Island, 1 Larkhill Road",,1.2520799,103.822159,080625
ChIJiTst4FUZ2jERjQkfV6asPIg,Sentosa Island's Nameplate,OPERATIONAL,"{'location': {'lat': 1.2564274, 'lng': 103.8228983}, 'viewport': {'northeast': {'lat': 1.257713430291502, 'lng': 103.8241779802915}, 'southwest': {'lat': 1.255015469708498, 'lng': 103.8214800197085}}}",,35.0,4.5,"['lodging', 'point_of_interest', 'establishment']",2 Sentosa Gateway,,1.2564274,103.8228983,080625
