place_id,name,business_status,geometry,user_ratings_total,rating,types,vicinity,permanently_closed,lat,lng
ChIJfwlmm00f2jERFiXa86VpI_g,Sentosa Ranger Station,OPERATIONAL,"{'location': {'lat': 1.2508799, 'lng': 103.8270081}, 'viewport': {'northeast': {'lat': 1.252183180291502, 'lng': 103.8283013802915}, 'southwest': {'lat': 1.249485219708498, 'lng': 103.8256034197085}}}",,,"['police', 'point_of_interest', 'establishment']",,,1.2508799,103.8270081
ChIJfwlmm00f2jERFiXa86VpI_g,Sentosa Ranger Station,OPERATIONAL,"{'location': {'lat': 1.2508799, 'lng': 103.8270081}, 'viewport': {'northeast': {'lat': 1.252183180291502, 'lng': 103.8283013802915}, 'southwest': {'lat': 1.249485219708498, 'lng': 103.8256034197085}}}",,,"['police', 'point_of_interest', 'establishment']",,,1.2508799,103.8270081
ChIJcfM2v0Qb2jERKZMMXpSHnQY,Telok Blangah Neighbourhood Police Post,OPERATIONAL,"{'location': {'lat': 1.2735299, 'lng': 103.8095713}, 'viewport': {'northeast': {'lat': 1.274981380291502, 'lng': 103.8109406302915}, 'southwest': {'lat': 1.272283419708498, 'lng': 103.8082426697085}}}",,,"['police', 'point_of_interest', 'establishment']","51 Telok Blangah Drive, #01-116/118, Blangah View, 51 Telok Blangah Drive, Block 51, Singapore",,1.2735299,103.8095713
ChIJlyc4rr4b2jERmqNVxURDHMI,Pasir Panjang Neighbourhood Police Post (e-Kiosk),OPERATIONAL,"{'location': {'lat': 1.2754432, 'lng': 103.7933919}, 'viewport': {'northeast': {'lat': 1.276911780291502, 'lng': 103.7947778302915}, 'southwest': {'lat': 1.274213819708498, 'lng': 103.7920798697085}}}",,,"['police', 'point_of_interest', 'establishment']",109A Pasir Panjang Road,,1.2754432,103.7933919
ChIJlyc4rr4b2jERmqNVxURDHMI,Pasir Panjang Neighbourhood Police Post (e-Kiosk),OPERATIONAL,"{'location': {'lat': 1.2754432, 'lng': 103.7933919}, 'viewport': {'northeast': {'lat': 1.276911780291502, 'lng': 103.7947778302915}, 'southwest': {'lat': 1.274213819708498, 'lng': 103.7920798697085}}}",,,"['police', 'point_of_interest', 'establishment']",109A Pasir Panjang Road,,1.2754432,103.7933919
ChIJcfM2v0Qb2jERKZMMXpSHnQY,Telok Blangah Neighbourhood Police Post,OPERATIONAL,"{'location': {'lat': 1.2735299, 'lng': 103.8095713}, 'viewport': {'northeast': {'lat': 1.274981380291502, 'lng': 103.8109406302915}, 'southwest': {'lat': 1.272283419708498, 'lng': 103.8082426697085}}}",,,"['police', 'point_of_interest', 'establishment']","51 Telok Blangah Drive, #01-116/118, Blangah View, 51 Telok Blangah Drive, Block 51, Singapore",,1.2735299,103.8095713
ChIJ8_nKk9gb2jERtOLxlkYedds,Radin Mas Neighbourhood Police Post (e-Kiosk),OPERATIONAL,"{'location': {'lat': 1.2770016, 'lng': 103.8204494}, 'viewport': {'northeast': {'lat': 1.278408280291502, 'lng': 103.8217796302915}, 'southwest': {'lat': 1.275710319708498, 'lng': 103.8190816697085}}}",,,"['police', 'point_of_interest', 'establishment']","15 Telok Blangah Crescent Mount, Faber View, #01-250, Singapore",,1.2770016,103.8204494
ChIJ8_nKk9gb2jERtOLxlkYedds,Radin Mas Neighbourhood Police Post (e-Kiosk),OPERATIONAL,"{'location': {'lat': 1.2770016, 'lng': 103.8204494}, 'viewport': {'northeast': {'lat': 1.278408280291502, 'lng': 103.8217796302915}, 'southwest': {'lat': 1.275710319708498, 'lng': 103.8190816697085}}}",,,"['police', 'point_of_interest', 'establishment']","15 Telok Blangah Crescent Mount, Faber View, #01-250, Singapore",,1.2770016,103.8204494
ChIJa62rVGQZ2jERq94tNOTL-TU,Tanjong Pagar Neighbourhood Police Post (e-Kiosk),OPERATIONAL,"{'location': {'lat': 1.2772367, 'lng': 103.830021}, 'viewport': {'northeast': {'lat': 1.278798130291502, 'lng': 103.8312769302915}, 'southwest': {'lat': 1.276100169708498, 'lng': 103.8285789697085}}}",,,"['police', 'point_of_interest', 'establishment']","144 Jalan Bukit Merah, #01-1114, Singapore",,1.2772367,103.830021
ChIJt_LF3W0Z2jERshj1hCKO66o,Commercial Affairs Department,OPERATIONAL,"{'location': {'lat': 1.278478, 'lng': 103.8394409}, 'viewport': {'northeast': {'lat': 1.280057580291502, 'lng': 103.8405877802915}, 'southwest': {'lat': 1.277359619708498, 'lng': 103.8378898197085}}}",,,"['police', 'point_of_interest', 'establishment']","391, #06-701 New Bridge Road, Block D Police Cantonment Complex (PCC)",,1.278478,103.8394409
ChIJK4mawgoZ2jERsivPctlY3yQ,Bukit Merah East Neighbourhood Police Centre,OPERATIONAL,"{'location': {'lat': 1.2785504, 'lng': 103.8396664}, 'viewport': {'northeast': {'lat': 1.280162880291502, 'lng': 103.8407774802915}, 'southwest': {'lat': 1.277464919708498, 'lng': 103.8380795197085}}}",,,"['police', 'point_of_interest', 'establishment']","391 New Bridge Road, Block A Police Cantonment Complex (PCC)",,1.2785504,103.8396664
ChIJt_LF3W0Z2jER_oh0kxospzo,Police Regulatory Department,OPERATIONAL,"{'location': {'lat': 1.278539, 'lng': 103.8396408}, 'viewport': {'northeast': {'lat': 1.280148280291502, 'lng': 103.8407547802915}, 'southwest': {'lat': 1.277450319708498, 'lng': 103.8380568197085}}}",,,"['police', 'point_of_interest', 'establishment']",391 New Bridge Road,,1.278539,103.8396408
ChIJAQDA520Z2jERJzmIuf0WS4U,Police Cantonment Complex (PCC),OPERATIONAL,"{'location': {'lat': 1.2785504, 'lng': 103.8396664}, 'viewport': {'northeast': {'lat': 1.279951180291502, 'lng': 103.8405088302915}, 'southwest': {'lat': 1.277253219708498, 'lng': 103.8378108697085}}}",,,"['police', 'point_of_interest', 'establishment']",391 New Bridge Road,,1.2785504,103.8396664
ChIJ1bdV720Z2jER3m9oulH69WU,Central Police Divisional Headquarters,OPERATIONAL,"{'location': {'lat': 1.2785504, 'lng': 103.8396664}, 'viewport': {'northeast': {'lat': 1.280162880291502, 'lng': 103.8407774802915}, 'southwest': {'lat': 1.277464919708498, 'lng': 103.8380795197085}}}",,,"['police', 'point_of_interest', 'establishment']","391, Block A New Bridge Road, #03-112 Police Cantonment Complex (PCC)",,1.2785504,103.8396664
ChIJz6_w320Z2jERnQTray0XFbg,Criminal Investigation Department,OPERATIONAL,"{'location': {'lat': 1.2789566, 'lng': 103.8394146}, 'viewport': {'northeast': {'lat': 1.280394580291502, 'lng': 103.8406832302915}, 'southwest': {'lat': 1.277696619708498, 'lng': 103.8379852697085}}}",,,"['police', 'point_of_interest', 'establishment']",391 New Bridge Road,,1.2789566,103.8394146
ChIJS9l9TW0Z2jERe5cu-ZqKp_4,Anytime Valets Pte Ltd,OPERATIONAL,"{'location': {'lat': 1.2758528, 'lng': 103.8443611}, 'viewport': {'northeast': {'lat': 1.277176930291502, 'lng': 103.8458116802915}, 'southwest': {'lat': 1.274478969708498, 'lng': 103.8431137197085}}}",52.0,4.8,"['parking', 'police', 'point_of_interest', 'establishment']",100 Peck Seah Street,,1.2758528,103.8443611
ChIJhc5aDhQZ2jERaJWcFQ163b4,Marina Bay Neighbourhood Police Centre,OPERATIONAL,"{'location': {'lat': 1.2746839, 'lng': 103.848937}, 'viewport': {'northeast': {'lat': 1.275964480291502, 'lng': 103.8504003802915}, 'southwest': {'lat': 1.273266519708498, 'lng': 103.8477024197085}}}",,,"['police', 'point_of_interest', 'establishment']",70 Marina View,,1.2746839,103.848937
ChIJhc5aDhQZ2jERaJWcFQ163b4,Marina Bay Neighbourhood Police Centre,OPERATIONAL,"{'location': {'lat': 1.2746839, 'lng': 103.848937}, 'viewport': {'northeast': {'lat': 1.275964480291502, 'lng': 103.8504003802915}, 'southwest': {'lat': 1.273266519708498, 'lng': 103.8477024197085}}}",,,"['police', 'point_of_interest', 'establishment']",70 Marina View,,1.2746839,103.848937
ChIJ3yq2QX4Z2jERrAnmHl6lJks,Bukit Merah West Neighbourhood Police Centre,OPERATIONAL,"{'location': {'lat': 1.2859151, 'lng': 103.823354}, 'viewport': {'northeast': {'lat': 1.287166130291502, 'lng': 103.8244093802915}, 'southwest': {'lat': 1.284468169708498, 'lng': 103.8217114197085}}}",,,"['police', 'point_of_interest', 'establishment']","500 Bukit Merah View, #01-01, Singapore",,1.2859151,103.823354
ChIJt_LF3W0Z2jERshj1hCKO66o,Commercial Affairs Department,OPERATIONAL,"{'location': {'lat': 1.278478, 'lng': 103.8394409}, 'viewport': {'northeast': {'lat': 1.280057580291502, 'lng': 103.8405877802915}, 'southwest': {'lat': 1.277359619708498, 'lng': 103.8378898197085}}}",,,"['police', 'point_of_interest', 'establishment']","391, #06-701 New Bridge Road, Block D Police Cantonment Complex (PCC)",,1.278478,103.8394409
ChIJK4mawgoZ2jERsivPctlY3yQ,Bukit Merah East Neighbourhood Police Centre,OPERATIONAL,"{'location': {'lat': 1.2785504, 'lng': 103.8396664}, 'viewport': {'northeast': {'lat': 1.280162880291502, 'lng': 103.8407774802915}, 'southwest': {'lat': 1.277464919708498, 'lng': 103.8380795197085}}}",,,"['police', 'point_of_interest', 'establishment']","391 New Bridge Road, Block A Police Cantonment Complex (PCC)",,1.2785504,103.8396664
ChIJAQDA520Z2jERJzmIuf0WS4U,Police Cantonment Complex (PCC),OPERATIONAL,"{'location': {'lat': 1.2785504, 'lng': 103.8396664}, 'viewport': {'northeast': {'lat': 1.279951180291502, 'lng': 103.8405088302915}, 'southwest': {'lat': 1.277253219708498, 'lng': 103.8378108697085}}}",,,"['police', 'point_of_interest', 'establishment']",391 New Bridge Road,,1.2785504,103.8396664
ChIJt_LF3W0Z2jER_oh0kxospzo,Police Regulatory Department,OPERATIONAL,"{'location': {'lat': 1.278539, 'lng': 103.8396408}, 'viewport': {'northeast': {'lat': 1.280148280291502, 'lng': 103.8407547802915}, 'southwest': {'lat': 1.277450319708498, 'lng': 103.8380568197085}}}",,,"['police', 'point_of_interest', 'establishment']",391 New Bridge Road,,1.278539,103.8396408
ChIJz6_w320Z2jERnQTray0XFbg,Criminal Investigation Department,OPERATIONAL,"{'location': {'lat': 1.2789566, 'lng': 103.8394146}, 'viewport': {'northeast': {'lat': 1.280394580291502, 'lng': 103.8406832302915}, 'southwest': {'lat': 1.277696619708498, 'lng': 103.8379852697085}}}",,,"['police', 'point_of_interest', 'establishment']",391 New Bridge Road,,1.2789566,103.8394146
ChIJ1bdV720Z2jER3m9oulH69WU,Central Police Divisional Headquarters,OPERATIONAL,"{'location': {'lat': 1.2785504, 'lng': 103.8396664}, 'viewport': {'northeast': {'lat': 1.280162880291502, 'lng': 103.8407774802915}, 'southwest': {'lat': 1.277464919708498, 'lng': 103.8380795197085}}}",,,"['police', 'point_of_interest', 'establishment']","391, Block A New Bridge Road, #03-112 Police Cantonment Complex (PCC)",,1.2785504,103.8396664
ChIJuR8BAwsZ2jERWQBgH9OokCw,Kreta Ayer Neighbourhood Police Post (e-Kiosk),OPERATIONAL,"{'location': {'lat': 1.2865537, 'lng': 103.8471311}, 'viewport': {'northeast': {'lat': 1.287977830291502, 'lng': 103.8485170802915}, 'southwest': {'lat': 1.285279869708498, 'lng': 103.8458191197085}}}",,,"['museum', 'police', 'point_of_interest', 'establishment']",55 North Canal Road,,1.2865537,103.8471311
ChIJw0E6Pssb2jERspX1RVglhWw,Queenstown Neighbourhood Police Centre,OPERATIONAL,"{'location': {'lat': 1.2882422, 'lng': 103.8030814}, 'viewport': {'northeast': {'lat': 1.289651680291502, 'lng': 103.8045753802915}, 'southwest': {'lat': 1.286953719708498, 'lng': 103.8018774197085}}}",,,"['police', 'point_of_interest', 'establishment']","3 Queensway, #01-03, Singapore",,1.2882422,103.8030814
ChIJWx0anYEZ2jERz0EebzOYy88,River Valley Neighbourhood Police Post,CLOSED_TEMPORARILY,"{'location': {'lat': 1.2917666, 'lng': 103.826274}, 'viewport': {'northeast': {'lat': 1.293184480291502, 'lng': 103.8275933302915}, 'southwest': {'lat': 1.290486519708498, 'lng': 103.8248953697085}}}",,,"['police', 'point_of_interest', 'establishment']","Delta Avenue, #01-02 Blk 4",True,1.2917666,103.826274
ChIJtZdDr3gZ2jERlm4bgEsDlDw,Kim Seng Neighbourhood Police Post (e-Kiosk),OPERATIONAL,"{'location': {'lat': 1.2889182, 'lng': 103.8281259}, 'viewport': {'northeast': {'lat': 1.290110380291502, 'lng': 103.8293392302915}, 'southwest': {'lat': 1.287412419708498, 'lng': 103.8266412697085}}}",,,"['police', 'point_of_interest', 'establishment']",5 Beo Crescent,,1.2889182,103.8281259
ChIJ3yq2QX4Z2jERrAnmHl6lJks,Bukit Merah West Neighbourhood Police Centre,OPERATIONAL,"{'location': {'lat': 1.2859151, 'lng': 103.823354}, 'viewport': {'northeast': {'lat': 1.287166130291502, 'lng': 103.8244093802915}, 'southwest': {'lat': 1.284468169708498, 'lng': 103.8217114197085}}}",,,"['police', 'point_of_interest', 'establishment']","500 Bukit Merah View, #01-01, Singapore",,1.2859151,103.823354
ChIJtZdDr3gZ2jERlm4bgEsDlDw,Kim Seng Neighbourhood Police Post (e-Kiosk),OPERATIONAL,"{'location': {'lat': 1.2889182, 'lng': 103.8281259}, 'viewport': {'northeast': {'lat': 1.290110380291502, 'lng': 103.8293392302915}, 'southwest': {'lat': 1.287412419708498, 'lng': 103.8266412697085}}}",,,"['police', 'point_of_interest', 'establishment']",5 Beo Crescent,,1.2889182,103.8281259
ChIJuR8BAwsZ2jERWQBgH9OokCw,Kreta Ayer Neighbourhood Police Post (e-Kiosk),OPERATIONAL,"{'location': {'lat': 1.2865537, 'lng': 103.8471311}, 'viewport': {'northeast': {'lat': 1.287977830291502, 'lng': 103.8485170802915}, 'southwest': {'lat': 1.285279869708498, 'lng': 103.8458191197085}}}",,,"['museum', 'police', 'point_of_interest', 'establishment']",55 North Canal Road,,1.2865537,103.8471311
ChIJH2LnQ8sb2jERA-RABTXay8c,Special Operations Command,OPERATIONAL,"{'location': {'lat': 1.2966201, 'lng': 103.8002216}, 'viewport': {'northeast': {'lat': 1.298014930291502, 'lng': 103.8014592802915}, 'southwest': {'lat': 1.295316969708498, 'lng': 103.7987613197085}}}",,,"['police', 'point_of_interest', 'establishment']","Queensway, Singapore",,1.2966201,103.8002216
ChIJH2LnQ8sb2jERA-RABTXay8c,Special Operations Command,OPERATIONAL,"{'location': {'lat': 1.2966201, 'lng': 103.8002216}, 'viewport': {'northeast': {'lat': 1.298014930291502, 'lng': 103.8014592802915}, 'southwest': {'lat': 1.295316969708498, 'lng': 103.7987613197085}}}",,,"['police', 'point_of_interest', 'establishment']","Queensway, Singapore",,1.2966201,103.8002216
ChIJec8HUJcZ2jER2wSO1OFFlCw,Orchard Neighbourhood Police Centre,OPERATIONAL,"{'location': {'lat': 1.2990477, 'lng': 103.8398122}, 'viewport': {'northeast': {'lat': 1.300486630291502, 'lng': 103.8410539802915}, 'southwest': {'lat': 1.297788669708498, 'lng': 103.8383560197085}}}",,,"['police', 'point_of_interest', 'establishment']","51 Killiney Road, Singapore",,1.2990477,103.8398122
ChIJHXjb3zwZ2jERkUNLMfJHEzw,TP Lazer Speed Cam,OPERATIONAL,"{'location': {'lat': 1.2999351, 'lng': 103.8635334}, 'viewport': {'northeast': {'lat': 1.301204330291502, 'lng': 103.8649356802915}, 'southwest': {'lat': 1.298506369708498, 'lng': 103.8622377197085}}}",,,"['police', 'point_of_interest', 'establishment']","20 Republic Avenue, Nicoll Highway",,1.2999351,103.8635334
ChIJC7d9dvIa2jERhWM63Coasyg,West Coast Neighbourhood Police Post (e-Kiosk),OPERATIONAL,"{'location': {'lat': 1.3048975, 'lng': 103.764061}, 'viewport': {'northeast': {'lat': 1.306293880291502, 'lng': 103.7655165802915}, 'southwest': {'lat': 1.303595919708498, 'lng': 103.7628186197085}}}",,,"['police', 'point_of_interest', 'establishment']","728 Clementi West Street 2, #01-418",,1.3048975,103.764061
ChIJC7d9dvIa2jERhWM63Coasyg,West Coast Neighbourhood Police Post (e-Kiosk),OPERATIONAL,"{'location': {'lat': 1.3048975, 'lng': 103.764061}, 'viewport': {'northeast': {'lat': 1.306293880291502, 'lng': 103.7655165802915}, 'southwest': {'lat': 1.303595919708498, 'lng': 103.7628186197085}}}",,,"['police', 'point_of_interest', 'establishment']","728 Clementi West Street 2, #01-418",,1.3048975,103.764061
ChIJ73qudVwa2jERlggLteLz6nU,Dover Neighbourhood Police Post,CLOSED_TEMPORARILY,"{'location': {'lat': 1.3038459, 'lng': 103.782178}, 'viewport': {'northeast': {'lat': 1.305128030291502, 'lng': 103.7834278802915}, 'southwest': {'lat': 1.302430069708498, 'lng': 103.7807299197085}}}",,,"['police', 'point_of_interest', 'establishment']","3 Dover Road, #01-368, 130003 Block 3",True,1.3038459,103.782178
ChIJ39iOiz8a2jER6Wv2o-9yeGs,Commonwealth Neighbourhood Police Post,CLOSED_TEMPORARILY,"{'location': {'lat': 1.3064668, 'lng': 103.7986927}, 'viewport': {'northeast': {'lat': 1.307843430291502, 'lng': 103.8001274302915}, 'southwest': {'lat': 1.305145469708498, 'lng': 103.7974294697085}}}",,,"['police', 'point_of_interest', 'establishment']","111 Commonwealth Crescent, Block 111, Singapore",True,1.3064668,103.7986927
ChIJ4f6oMwAb2jER4IfrJyG2ofo,Speed camera,OPERATIONAL,"{'location': {'lat': 1.3009277, 'lng': 103.7998921}, 'viewport': {'northeast': {'lat': 1.302253830291502, 'lng': 103.8012197302915}, 'southwest': {'lat': 1.299555869708498, 'lng': 103.7985217697085}}}",,,"['police', 'point_of_interest', 'establishment']","Commonwealth Avenue West towards Commonwealth Avenue.311672, #103",,1.3009277,103.7998921
ChIJ4f6oMwAb2jER4IfrJyG2ofo,Speed camera,OPERATIONAL,"{'location': {'lat': 1.3009277, 'lng': 103.7998921}, 'viewport': {'northeast': {'lat': 1.302253830291502, 'lng': 103.8012197302915}, 'southwest': {'lat': 1.299555869708498, 'lng': 103.7985217697085}}}",,,"['police', 'point_of_interest', 'establishment']","Commonwealth Avenue West towards Commonwealth Avenue.311672, #103",,1.3009277,103.7998921
ChIJU3hugYoZ2jERWXK-13mNP28,Interpol,OPERATIONAL,"{'location': {'lat': 1.3059199, 'lng': 103.8223164}, 'viewport': {'northeast': {'lat': 1.307221780291502, 'lng': 103.8233021802915}, 'southwest': {'lat': 1.304523819708498, 'lng': 103.8206042197085}}}",,,"['police', 'point_of_interest', 'establishment']",18 Napier Road,,1.3059199,103.8223164
ChIJzaDud7gZ2jERT-dVKHMMM1k,Rochor Neighbourhood Police Centre,OPERATIONAL,"{'location': {'lat': 1.3077453, 'lng': 103.854309}, 'viewport': {'northeast': {'lat': 1.309038630291502, 'lng': 103.8557517302915}, 'southwest': {'lat': 1.306340669708498, 'lng': 103.8530537697085}}}",,,"['police', 'point_of_interest', 'establishment']",11 Kampong Kapor Road,,1.3077453,103.854309
ChIJXYDrOLQZ2jERl7WNMpiZC40,Kampong Glam Neighbourhood Police Post (e-Kiosk),OPERATIONAL,"{'location': {'lat': 1.3039796, 'lng': 103.8634349}, 'viewport': {'northeast': {'lat': 1.305390680291502, 'lng': 103.8647952302915}, 'southwest': {'lat': 1.302692719708498, 'lng': 103.8620972697085}}}",,,"['police', 'point_of_interest', 'establishment']","17A Beach Road, Singapore",,1.3039796,103.8634349
ChIJXYDrOLQZ2jERl7WNMpiZC40,Kampong Glam Neighbourhood Police Post (e-Kiosk),OPERATIONAL,"{'location': {'lat': 1.3039796, 'lng': 103.8634349}, 'viewport': {'northeast': {'lat': 1.305390680291502, 'lng': 103.8647952302915}, 'southwest': {'lat': 1.302692719708498, 'lng': 103.8620972697085}}}",,,"['police', 'point_of_interest', 'establishment']","17A Beach Road, Singapore",,1.3039796,103.8634349
ChIJHXjb3zwZ2jERkUNLMfJHEzw,TP Lazer Speed Cam,OPERATIONAL,"{'location': {'lat': 1.2999351, 'lng': 103.8635334}, 'viewport': {'northeast': {'lat': 1.301204330291502, 'lng': 103.8649356802915}, 'southwest': {'lat': 1.298506369708498, 'lng': 103.8622377197085}}}",,,"['police', 'point_of_interest', 'establishment']","20 Republic Avenue, Nicoll Highway",,1.2999351,103.8635334
ChIJOwsS6nMY2jER7XlhJVsvr7o,Marine Parade Neighbourhood Police Post,OPERATIONAL,"{'location': {'lat': 1.30344, 'lng': 103.9069467}, 'viewport': {'northeast': {'lat': 1.304826580291502, 'lng': 103.9082163302915}, 'southwest': {'lat': 1.302128619708498, 'lng': 103.9055183697085}}}",,,"['police', 'point_of_interest', 'establishment']","74 Marine Drive, #01-35",,1.30344,103.9069467
ChIJwX4W4J8i2jERildguMCslhw,Marine Parade Neighbourhood Police Centre,OPERATIONAL,"{'location': {'lat': 1.3063262, 'lng': 103.914555}, 'viewport': {'northeast': {'lat': 1.307701680291502, 'lng': 103.9158532802915}, 'southwest': {'lat': 1.305003719708498, 'lng': 103.9131553197085}}}",,,"['police', 'point_of_interest', 'establishment']",300 Marine Parade Road,,1.3063262,103.914555
ChIJ50H29Y0a2jERpGtNyRewJok,Clementi Neighbourhood Police Post (e-Kiosk),CLOSED_TEMPORARILY,"{'location': {'lat': 1.3119746, 'lng': 103.7641789}, 'viewport': {'northeast': {'lat': 1.313424830291502, 'lng': 103.7656203302915}, 'southwest': {'lat': 1.310726869708498, 'lng': 103.7629223697085}}}",,,"['police', 'point_of_interest', 'establishment']","427 Clementi Avenue 3, #01-456, Singapore",True,1.3119746,103.7641789
ChIJ50H29Y0a2jERpGtNyRewJok,Clementi Neighbourhood Police Post (e-Kiosk),CLOSED_TEMPORARILY,"{'location': {'lat': 1.3119746, 'lng': 103.7641789}, 'viewport': {'northeast': {'lat': 1.313424830291502, 'lng': 103.7656203302915}, 'southwest': {'lat': 1.310726869708498, 'lng': 103.7629223697085}}}",,,"['police', 'point_of_interest', 'establishment']","427 Clementi Avenue 3, #01-456, Singapore",True,1.3119746,103.7641789
ChIJYxagfwAb2jERqGm3s9TMkAA,Speed cameras,OPERATIONAL,"{'location': {'lat': 1.3113849, 'lng': 103.7786069}, 'viewport': {'northeast': {'lat': 1.312692780291502, 'lng': 103.7798047802915}, 'southwest': {'lat': 1.309994819708498, 'lng': 103.7771068197085}}}",,,"['police', 'point_of_interest', 'establishment']","1.311444, 103.778340 Commonwealth Avenue West, Singapore",,1.3113849,103.7786069
ChIJYxagfwAb2jERqGm3s9TMkAA,Speed cameras,OPERATIONAL,"{'location': {'lat': 1.3113849, 'lng': 103.7786069}, 'viewport': {'northeast': {'lat': 1.312692780291502, 'lng': 103.7798047802915}, 'southwest': {'lat': 1.309994819708498, 'lng': 103.7771068197085}}}",,,"['police', 'point_of_interest', 'establishment']","1.311444, 103.778340 Commonwealth Avenue West, Singapore",,1.3113849,103.7786069
ChIJzeD5Imoa2jERih3LNGr2MSM,Buona Vista Neighbourhood Police Post (e-Kiosk),OPERATIONAL,"{'location': {'lat': 1.3093465, 'lng': 103.7931616}, 'viewport': {'northeast': {'lat': 1.310369880291502, 'lng': 103.7945718302915}, 'southwest': {'lat': 1.307671919708498, 'lng': 103.7918738697085}}}",,,"['police', 'point_of_interest', 'establishment']","block 13 Holland Drive, #01-38/40",,1.3093465,103.7931616
ChIJzeD5Imoa2jERih3LNGr2MSM,Buona Vista Neighbourhood Police Post (e-Kiosk),OPERATIONAL,"{'location': {'lat': 1.3093465, 'lng': 103.7931616}, 'viewport': {'northeast': {'lat': 1.310369880291502, 'lng': 103.7945718302915}, 'southwest': {'lat': 1.307671919708498, 'lng': 103.7918738697085}}}",,,"['police', 'point_of_interest', 'establishment']","block 13 Holland Drive, #01-38/40",,1.3093465,103.7931616
ChIJVW-dkcEZ2jER4daYG22LdeA,Tanglin Police Division HQ,OPERATIONAL,"{'location': {'lat': 1.3120546, 'lng': 103.8466991}, 'viewport': {'northeast': {'lat': 1.313424880291502, 'lng': 103.8480714302915}, 'southwest': {'lat': 1.310726919708498, 'lng': 103.8453734697085}}}",,,"['police', 'point_of_interest', 'establishment']","21 Kg Java Road, Singapore",,1.3120546,103.8466991
