place_id,name,business_status,geometry,price_level,user_ratings_total,rating,types,vicinity,permanently_closed,lat,lng
ChIJKU4wlVcf2jERsRIYr8P-i3Y,KidsCamp Singapore,OPERATIONAL,"{'location': {'lat': 1.2432981, 'lng': 103.8280264}, 'viewport': {'northeast': {'lat': 1.244746880291502, 'lng': 103.8294741302915}, 'southwest': {'lat': 1.242048919708498, 'lng': 103.8267761697085}}}",,2.0,3.0,"['school', 'point_of_interest', 'establishment']",120 Tanjong Beach Walk,,1.2432981,103.8280264
ChIJda22jCcf2jERPcM5bpyGIf8,"deimogofokd@,goil.com",OPERATIONAL,"{'location': {'lat': 1.2431113, 'lng': 103.8363529}, 'viewport': {'northeast': {'lat': 1.244574180291502, 'lng': 103.8381366302915}, 'southwest': {'lat': 1.241876219708498, 'lng': 103.8354386697085}}}",,,,"['school', 'point_of_interest', 'establishment']",Singapur,,1.2431113,103.8363529
ChIJ8bEJcKwe2jERVKAIUno3QhA,EtonHouse International School Sentosa,OPERATIONAL,"{'location': {'lat': 1.248497, 'lng': 103.8280487}, 'viewport': {'northeast': {'lat': 1.249857280291502, 'lng': 103.8292328802915}, 'southwest': {'lat': 1.247159319708498, 'lng': 103.8265349197085}}}",,,,"['primary_school', 'school', 'point_of_interest', 'establishment']",33 Allanbrooke Road,,1.248497,103.8280487
ChIJ8bEJcKwe2jERVKAIUno3QhA,EtonHouse International School Sentosa,OPERATIONAL,"{'location': {'lat': 1.248497, 'lng': 103.8280487}, 'viewport': {'northeast': {'lat': 1.249857280291502, 'lng': 103.8292328802915}, 'southwest': {'lat': 1.247159319708498, 'lng': 103.8265349197085}}}",,,,"['primary_school', 'school', 'point_of_interest', 'establishment']",33 Allanbrooke Road,,1.248497,103.8280487
ChIJyZWB1rUe2jERq57akSOwjoI,Quayside Isle Preparatory School,OPERATIONAL,"{'location': {'lat': 1.2471352, 'lng': 103.8423525}, 'viewport': {'northeast': {'lat': 1.248805780291502, 'lng': 103.8436369802915}, 'southwest': {'lat': 1.246107819708498, 'lng': 103.8409390197085}}}",,,,"['school', 'point_of_interest', 'establishment']","31 Ocean Way, #01-17",,1.2471352,103.8423525
ChIJD2-ytbYe2jER_CQTYYnHI9w,BASCO Boating,OPERATIONAL,"{'location': {'lat': 1.2469693, 'lng': 103.8398874}, 'viewport': {'northeast': {'lat': 1.248489580291502, 'lng': 103.8408910302915}, 'southwest': {'lat': 1.245791619708498, 'lng': 103.8381930697085}}}",,13.0,4.4,"['school', 'store', 'point_of_interest', 'establishment']","1 Cove Drive, Singapore",,1.2469693,103.8398874
ChIJB8WeMOAf2jER9Z1JnOQJdtk,Mamamonte Montessori,OPERATIONAL,"{'location': {'lat': 1.248937, 'lng': 103.8423759}, 'viewport': {'northeast': {'lat': 1.250364480291502, 'lng': 103.8437210802915}, 'southwest': {'lat': 1.247666519708498, 'lng': 103.8410231197085}}}",,,,"['school', 'point_of_interest', 'establishment']",,,1.248937,103.8423759
ChIJyZWB1rUe2jERq57akSOwjoI,Quayside Isle Preparatory School,OPERATIONAL,"{'location': {'lat': 1.2471352, 'lng': 103.8423525}, 'viewport': {'northeast': {'lat': 1.248805780291502, 'lng': 103.8436369802915}, 'southwest': {'lat': 1.246107819708498, 'lng': 103.8409390197085}}}",,,,"['school', 'point_of_interest', 'establishment']","31 Ocean Way, #01-17",,1.2471352,103.8423525
ChIJB8WeMOAf2jER9Z1JnOQJdtk,Mamamonte Montessori,OPERATIONAL,"{'location': {'lat': 1.248937, 'lng': 103.8423759}, 'viewport': {'northeast': {'lat': 1.250364480291502, 'lng': 103.8437210802915}, 'southwest': {'lat': 1.247666519708498, 'lng': 103.8410231197085}}}",,,,"['school', 'point_of_interest', 'establishment']",,,1.248937,103.8423759
ChIJ0ZQXRQ4d2jERUjXgjf97pjE,EtonHouse Pre-School by the Beach,OPERATIONAL,"{'location': {'lat': 1.2517513, 'lng': 103.8202065}, 'viewport': {'northeast': {'lat': 1.253126530291502, 'lng': 103.8212479802915}, 'southwest': {'lat': 1.250428569708498, 'lng': 103.8185500197085}}}",,,,"['school', 'point_of_interest', 'establishment']","31 Beach View Road, #02-01 & #03-01 Palawan Kidz City, Sentosa",,1.2517513,103.8202065
ChIJ-STZrqIZ2jER_kEAi4HkVs0,SSTC Institute,OPERATIONAL,"{'location': {'lat': 1.2644615, 'lng': 103.8201179}, 'viewport': {'northeast': {'lat': 1.265827380291502, 'lng': 103.8213710802915}, 'southwest': {'lat': 1.263129419708498, 'lng': 103.8186731197085}}}",,61.0,4.4,"['school', 'point_of_interest', 'establishment']","1 Maritime Square 13-01 HarbourFront Centre access from Lift, Lobby B to Level 12 Level 13 via escalator",,1.2644615,103.8201179
ChIJI8r3ofMb2jERIjPaEQhAVuA,Agora Colearning,OPERATIONAL,"{'location': {'lat': 1.2632359, 'lng': 103.8201359}, 'viewport': {'northeast': {'lat': 1.265139780291502, 'lng': 103.8213031302915}, 'southwest': {'lat': 1.262441819708498, 'lng': 103.8186051697085}}}",,108.0,4.9,"['school', 'point_of_interest', 'establishment']","HarbourFront Centre, 1 Maritime Square, #04-01 Lobby C",,1.2632359,103.8201359
ChIJ281sc5DTuUERHiUpiaqKGKU,Heph Academy,OPERATIONAL,"{'location': {'lat': 1.2661746, 'lng': 103.8233469}, 'viewport': {'northeast': {'lat': 1.267395630291502, 'lng': 103.8247457802915}, 'southwest': {'lat': 1.264697669708498, 'lng': 103.8220478197085}}}",,,,"['school', 'point_of_interest', 'establishment']","52 Telok Blangah Road, #04-03 Telok Blangah House",,1.2661746,103.8233469
ChIJh5U-f7sb2jERe2rt-P2CzYQ,BMC@HarbourFront,OPERATIONAL,"{'location': {'lat': 1.2642175, 'lng': 103.8203582}, 'viewport': {'northeast': {'lat': 1.265422530291502, 'lng': 103.8218051302915}, 'southwest': {'lat': 1.262724569708498, 'lng': 103.8191071697085}}}",,,,"['school', 'point_of_interest', 'establishment']",Brighton Montessori centre’s,,1.2642175,103.8203582
ChIJYyXQ9Dcb2jERRCg_lzSRgNo,Brighton Montessori Harbourfront,OPERATIONAL,"{'location': {'lat': 1.2642175, 'lng': 103.8203582}, 'viewport': {'northeast': {'lat': 1.265500730291502, 'lng': 103.8217857802915}, 'southwest': {'lat': 1.262802769708498, 'lng': 103.8190878197085}}}",,18.0,4.9,"['school', 'point_of_interest', 'establishment']","1 Maritime Square, #03-03 HarbourFront Centre",,1.2642175,103.8203582
ChIJA4hEaOIb2jERDhOXC3wpIg4,Readers Harvest,OPERATIONAL,"{'location': {'lat': 1.2641654, 'lng': 103.8203016}, 'viewport': {'northeast': {'lat': 1.265383630291502, 'lng': 103.8216188802915}, 'southwest': {'lat': 1.262685669708498, 'lng': 103.8189209197085}}}",,,,"['school', 'point_of_interest', 'establishment']",1 Maritime Square,,1.2641654,103.8203016
ChIJ9TyQaeIb2jERaBSLHLfaVCA,Heguru Method @ HarbourFront,OPERATIONAL,"{'location': {'lat': 1.2643246, 'lng': 103.8203062}, 'viewport': {'northeast': {'lat': 1.265504880291502, 'lng': 103.8217862802915}, 'southwest': {'lat': 1.262806919708498, 'lng': 103.8190883197085}}}",,95.0,4.8,"['school', 'point_of_interest', 'establishment']","1 Maritime Square, #03 - 09",,1.2643246,103.8203062
ChIJDc2Rtnsb2jERxP4KJUK9Smo,inStic Academy,OPERATIONAL,"{'location': {'lat': 1.264197, 'lng': 103.820116}, 'viewport': {'northeast': {'lat': 1.265549030291502, 'lng': 103.8212700302915}, 'southwest': {'lat': 1.262851069708498, 'lng': 103.8185720697085}}}",,,,"['school', 'point_of_interest', 'establishment']","1 Maritime Square, #04-01",,1.264197,103.820116
ChIJzSXR_DIa2jERsiV0hN1JleE,Rainbow Cove @ Alexandra,OPERATIONAL,"{'location': {'lat': 1.2736219, 'lng': 103.8017499}, 'viewport': {'northeast': {'lat': 1.274954180291502, 'lng': 103.8031364802915}, 'southwest': {'lat': 1.272256219708498, 'lng': 103.8004385197085}}}",,28.0,4.7,"['school', 'point_of_interest', 'establishment']","460 Alexandra Road, #03-04",,1.2736219,103.8017499
ChIJXXNIRt0b2jERsWdaCRsP2tg,PCF Sparkletots @ Telok Blangah Blk 44,OPERATIONAL,"{'location': {'lat': 1.2714028, 'lng': 103.8106225}, 'viewport': {'northeast': {'lat': 1.272583030291502, 'lng': 103.8116148302915}, 'southwest': {'lat': 1.269885069708498, 'lng': 103.8089168697085}}}",,8.0,3.6,"['school', 'point_of_interest', 'establishment']","Blk 44 Telok Blangah Drive, #01-19 / 51",,1.2714028,103.8106225
ChIJqxIipMsb2jERb8aiXWRAfcw,Little Seeds Preschool (Capstone),OPERATIONAL,"{'location': {'lat': 1.2697035, 'lng': 103.8145724}, 'viewport': {'northeast': {'lat': 1.271088080291502, 'lng': 103.8159421802915}, 'southwest': {'lat': 1.268390119708498, 'lng': 103.8132442197085}}}",,19.0,5.0,"['school', 'point_of_interest', 'establishment']","63 Wishart Road, Singapore",,1.2697035,103.8145724
