place_id,name,business_status,geometry,price_level,user_ratings_total,rating,types,vicinity,permanently_closed,lat,lng
ChIJb5kdbQAf2jERSVIKh8bvucY,Kindness Flower florist,OPERATIONAL,"{'location': {'lat': 1.2477359, 'lng': 103.8419997}, 'viewport': {'northeast': {'lat': 1.249132080291502, 'lng': 103.8434053802915}, 'southwest': {'lat': 1.246434119708498, 'lng': 103.8407074197085}}}",,4.0,5.0,"['shopping_mall', 'home_goods_store', 'florist', 'store', 'point_of_interest', 'establishment']","31 Ocean Way, #01 - 23",,1.2477359,103.8419997
ChIJXTPNz2QX2jERm0ey6K8T-Dk,Julia Blank,OPERATIONAL,"{'location': {'lat': 1.248038, 'lng': 103.8422131}, 'viewport': {'northeast': {'lat': 1.249322280291502, 'lng': 103.8434901302915}, 'southwest': {'lat': 1.246624319708498, 'lng': 103.8407921697085}}}",,15.0,4.9,"['shopping_mall', 'clothing_store', 'store', 'point_of_interest', 'establishment']","7 Ocean Way, unit 0428",,1.248038,103.8422131
ChIJXTPNz2QX2jERm0ey6K8T-Dk,Julia Blank,OPERATIONAL,"{'location': {'lat': 1.248038, 'lng': 103.8422131}, 'viewport': {'northeast': {'lat': 1.249322280291502, 'lng': 103.8434901302915}, 'southwest': {'lat': 1.246624319708498, 'lng': 103.8407921697085}}}",,15.0,4.9,"['shopping_mall', 'clothing_store', 'store', 'point_of_interest', 'establishment']","7 Ocean Way, unit 0428",,1.248038,103.8422131
ChIJb5kdbQAf2jERSVIKh8bvucY,Kindness Flower florist,OPERATIONAL,"{'location': {'lat': 1.2477359, 'lng': 103.8419997}, 'viewport': {'northeast': {'lat': 1.249132080291502, 'lng': 103.8434053802915}, 'southwest': {'lat': 1.246434119708498, 'lng': 103.8407074197085}}}",,4.0,5.0,"['shopping_mall', 'florist', 'home_goods_store', 'store', 'point_of_interest', 'establishment']","31 Ocean Way, #01 - 23",,1.2477359,103.8419997
ChIJkbLj5_0b2jERx4X-HukR9gs,The Forum,OPERATIONAL,"{'location': {'lat': 1.2570472, 'lng': 103.8202366}, 'viewport': {'northeast': {'lat': 1.258312780291502, 'lng': 103.8211082}, 'southwest': {'lat': 1.255614819708498, 'lng': 103.8180494}}}",,109.0,4.2,"['shopping_mall', 'point_of_interest', 'establishment']",8 Sentosa Gateway,,1.2570472,103.8202366
ChIJkbLj5_0b2jERx4X-HukR9gs,The Forum,OPERATIONAL,"{'location': {'lat': 1.2570472, 'lng': 103.8202366}, 'viewport': {'northeast': {'lat': 1.258312780291502, 'lng': 103.8211082}, 'southwest': {'lat': 1.255614819708498, 'lng': 103.8180494}}}",,109.0,4.2,"['shopping_mall', 'point_of_interest', 'establishment']",8 Sentosa Gateway,,1.2570472,103.8202366
ChIJK7xLl1gZ2jERP_GdUY9XNLo,VivoCity,OPERATIONAL,"{'location': {'lat': 1.2647139, 'lng': 103.8231658}, 'viewport': {'northeast': {'lat': 1.266249780291502, 'lng': 103.82432815}, 'southwest': {'lat': 1.263551819708498, 'lng': 103.81967875}}}",,52984.0,4.5,"['shopping_mall', 'point_of_interest', 'establishment']",1 HarbourFront Walk,,1.2647139,103.8231658
ChIJqyZyPOMb2jERKr1XIGNJ-Ec,"DFS Singapore Cruise Centre, Harbourfront",OPERATIONAL,"{'location': {'lat': 1.2642175, 'lng': 103.8203582}, 'viewport': {'northeast': {'lat': 1.265422530291502, 'lng': 103.8218051302915}, 'southwest': {'lat': 1.262724569708498, 'lng': 103.8191071697085}}}",2.0,74.0,4.1,"['department_store', 'jewelry_store', 'shopping_mall', 'travel_agency', 'clothing_store', 'store', 'point_of_interest', 'establishment']","1 Maritime Square, #01-17/20 Singapore Cruise Centre",,1.2642175,103.8203582
ChIJ5Qx1aOIb2jERwQsRlRdHaWM,HarbourFront Centre,OPERATIONAL,"{'location': {'lat': 1.2643689, 'lng': 103.8200727}, 'viewport': {'northeast': {'lat': 1.265659480291502, 'lng': 103.8212487802915}, 'southwest': {'lat': 1.262961519708498, 'lng': 103.8185508197085}}}",,9619.0,4.4,"['shopping_mall', 'point_of_interest', 'establishment']",1 Maritime Square,,1.2643689,103.8200727
ChIJ0QCTfjcZ2jERigADSq7akLo,Crocodile Boutique,OPERATIONAL,"{'location': {'lat': 1.2649567, 'lng': 103.8215746}, 'viewport': {'northeast': {'lat': 1.266275630291502, 'lng': 103.8225599802915}, 'southwest': {'lat': 1.263577669708498, 'lng': 103.8198620197085}}}",,5.0,4.0,"['shopping_mall', 'point_of_interest', 'establishment']","1 HarbourFront Walk, #02-237 VivoCity",,1.2649567,103.8215746
ChIJ1RcVLRsb2jER3mNBVHlVuhw,MBT VivoCity,OPERATIONAL,"{'location': {'lat': 1.2650013, 'lng': 103.8209162}, 'viewport': {'northeast': {'lat': 1.266348530291502, 'lng': 103.8222300302915}, 'southwest': {'lat': 1.263650569708498, 'lng': 103.8195320697085}}}",,12.0,4.5,"['shopping_mall', 'point_of_interest', 'establishment']","HarbourFront Walk, #02-54, Singapore",,1.2650013,103.8209162
ChIJ34v-Alwb2jERPN7xtcLmuyU,EMME Visioncare,OPERATIONAL,"{'location': {'lat': 1.2640923, 'lng': 103.819917}, 'viewport': {'northeast': {'lat': 1.265478980291502, 'lng': 103.8211702302915}, 'southwest': {'lat': 1.262781019708498, 'lng': 103.8184722697085}}}",,135.0,5.0,"['shopping_mall', 'health', 'store', 'point_of_interest', 'establishment']","1 Maritime Square, #02-63 HarbourFront Centre",,1.2640923,103.819917
ChIJNVGRmcEb2jERUoQ_Ke5A864,Mapletree ARC Drop-Off Point,OPERATIONAL,"{'location': {'lat': 1.2736275, 'lng': 103.8017666}, 'viewport': {'northeast': {'lat': 1.274956980291502, 'lng': 103.8030994302915}, 'southwest': {'lat': 1.272259019708498, 'lng': 103.8004014697085}}}",,1.0,5.0,"['shopping_mall', 'point_of_interest', 'establishment']",460 Alexandra Road,,1.2736275,103.8017666
ChIJw656L8Mb2jERzs3namlmYGs,Telok Blangah Mall,OPERATIONAL,"{'location': {'lat': 1.2735039, 'lng': 103.8090393}, 'viewport': {'northeast': {'lat': 1.275057980291502, 'lng': 103.8100243802915}, 'southwest': {'lat': 1.272360019708498, 'lng': 103.8073264197085}}}",,50.0,4.1,"['shopping_mall', 'point_of_interest', 'establishment']","78A Telok Blangah Street 32, Singapore",,1.2735039,103.8090393
ChIJhWErVQAb2jERAO5keNPGffI,Singapore,OPERATIONAL,"{'location': {'lat': 1.2736245, 'lng': 103.8082585}, 'viewport': {'northeast': {'lat': 1.275118280291502, 'lng': 103.8098095802915}, 'southwest': {'lat': 1.272420319708498, 'lng': 103.8071116197085}}}",,,,"['shopping_mall', 'point_of_interest', 'establishment']","78B Telok Blangah Street 32, Singapore",,1.2736245,103.8082585
ChIJK7xLl1gZ2jERP_GdUY9XNLo,VivoCity,OPERATIONAL,"{'location': {'lat': 1.2647139, 'lng': 103.8231658}, 'viewport': {'northeast': {'lat': 1.266249780291502, 'lng': 103.82432815}, 'southwest': {'lat': 1.263551819708498, 'lng': 103.81967875}}}",,52984.0,4.5,"['shopping_mall', 'point_of_interest', 'establishment']",1 HarbourFront Walk,,1.2647139,103.8231658
ChIJ0QCTfjcZ2jERigADSq7akLo,Crocodile Boutique,OPERATIONAL,"{'location': {'lat': 1.2649567, 'lng': 103.8215746}, 'viewport': {'northeast': {'lat': 1.266275630291502, 'lng': 103.8225599802915}, 'southwest': {'lat': 1.263577669708498, 'lng': 103.8198620197085}}}",,5.0,4.0,"['shopping_mall', 'point_of_interest', 'establishment']","1 HarbourFront Walk, #02-237 VivoCity",,1.2649567,103.8215746
ChIJJdZoM2sZ2jERy8xMysHGueM,AlfaShip Agency Singapore,OPERATIONAL,"{'location': {'lat': 1.2735406, 'lng': 103.8447021}, 'viewport': {'northeast': {'lat': 1.274904480291502, 'lng': 103.8460356302915}, 'southwest': {'lat': 1.272206519708498, 'lng': 103.8433376697085}}}",,1.0,5.0,"['shopping_mall', 'point_of_interest', 'establishment']",Anson Road,,1.2735406,103.8447021
ChIJr1piWqUb2jERe2fPwBJvucU,Viva Vista Shopping Mall,OPERATIONAL,"{'location': {'lat': 1.279714, 'lng': 103.7860135}, 'viewport': {'northeast': {'lat': 1.280748680291502, 'lng': 103.7874178302915}, 'southwest': {'lat': 1.278050719708498, 'lng': 103.7847198697085}}}",,204.0,3.6,"['shopping_mall', 'point_of_interest', 'establishment']","3 South Buona Vista Road, Viva Vista Shopping Mall",,1.279714,103.7860135
ChIJeTfMRwAb2jER1Hq-k7VMrb0,Oil shop,OPERATIONAL,"{'location': {'lat': 1.2760675, 'lng': 103.7933457}, 'viewport': {'northeast': {'lat': 1.277382780291502, 'lng': 103.7945785302915}, 'southwest': {'lat': 1.274684819708498, 'lng': 103.7918805697085}}}",,1.0,5.0,"['shopping_mall', 'point_of_interest', 'establishment']",114 Pepys Road,,1.2760675,103.7933457
ChIJT045e20Q2jERAOMPi8p1-yk,Micro Scooters Singapore,OPERATIONAL,"{'location': {'lat': 1.2759761, 'lng': 103.7946432}, 'viewport': {'northeast': {'lat': 1.277343930291502, 'lng': 103.7959931302915}, 'southwest': {'lat': 1.274645969708498, 'lng': 103.7932951697085}}}",,7.0,5.0,"['shopping_mall', 'car_repair', 'store', 'point_of_interest', 'establishment']","102E Pasir Panjang Road, #07-02 Citilink Warehouse Complex",,1.2759761,103.7946432
ChIJeTfMRwAb2jER1Hq-k7VMrb0,Oil shop,OPERATIONAL,"{'location': {'lat': 1.2760675, 'lng': 103.7933457}, 'viewport': {'northeast': {'lat': 1.277382780291502, 'lng': 103.7945785302915}, 'southwest': {'lat': 1.274684819708498, 'lng': 103.7918805697085}}}",,1.0,5.0,"['shopping_mall', 'point_of_interest', 'establishment']",114 Pepys Road,,1.2760675,103.7933457
ChIJwz3yHMEb2jERHclcbs5KL4A,Alexandra Retail Centre (ARC),OPERATIONAL,"{'location': {'lat': 1.2739139, 'lng': 103.8015008}, 'viewport': {'northeast': {'lat': 1.275046580291502, 'lng': 103.8026987302915}, 'southwest': {'lat': 1.272348619708498, 'lng': 103.8000007697085}}}",,4392.0,4.0,"['shopping_mall', 'point_of_interest', 'establishment']","460 Alexandra Road, Singapore",,1.2739139,103.8015008
ChIJNVGRmcEb2jERUoQ_Ke5A864,Mapletree ARC Drop-Off Point,OPERATIONAL,"{'location': {'lat': 1.2736275, 'lng': 103.8017666}, 'viewport': {'northeast': {'lat': 1.274956980291502, 'lng': 103.8030994302915}, 'southwest': {'lat': 1.272259019708498, 'lng': 103.8004014697085}}}",,1.0,5.0,"['shopping_mall', 'point_of_interest', 'establishment']",460 Alexandra Road,,1.2736275,103.8017666
ChIJw656L8Mb2jERzs3namlmYGs,Telok Blangah Mall,OPERATIONAL,"{'location': {'lat': 1.2735039, 'lng': 103.8090393}, 'viewport': {'northeast': {'lat': 1.275057980291502, 'lng': 103.8100243802915}, 'southwest': {'lat': 1.272360019708498, 'lng': 103.8073264197085}}}",,50.0,4.1,"['shopping_mall', 'point_of_interest', 'establishment']","78A Telok Blangah Street 32, Singapore",,1.2735039,103.8090393
ChIJhWErVQAb2jERAO5keNPGffI,Singapore,OPERATIONAL,"{'location': {'lat': 1.2736245, 'lng': 103.8082585}, 'viewport': {'northeast': {'lat': 1.275118280291502, 'lng': 103.8098095802915}, 'southwest': {'lat': 1.272420319708498, 'lng': 103.8071116197085}}}",,,,"['shopping_mall', 'point_of_interest', 'establishment']","78B Telok Blangah Street 32, Singapore",,1.2736245,103.8082585
ChIJn2Tr9dgb2jERConEIWD2iUE,Crescent Mall,OPERATIONAL,"{'location': {'lat': 1.2775023, 'lng': 103.8197427}, 'viewport': {'northeast': {'lat': 1.278863830291502, 'lng': 103.8212442302915}, 'southwest': {'lat': 1.276165869708498, 'lng': 103.8185462697085}}}",,144.0,4.1,"['shopping_mall', 'point_of_interest', 'establishment']","12 Telok Blangah Crescent, Singapore",,1.2775023,103.8197427
ChIJn2Tr9dgb2jERConEIWD2iUE,Crescent Mall,OPERATIONAL,"{'location': {'lat': 1.2775023, 'lng': 103.8197427}, 'viewport': {'northeast': {'lat': 1.278863830291502, 'lng': 103.8212442302915}, 'southwest': {'lat': 1.276165869708498, 'lng': 103.8185462697085}}}",,144.0,4.1,"['shopping_mall', 'point_of_interest', 'establishment']","12 Telok Blangah Crescent, Singapore",,1.2775023,103.8197427
ChIJxaEA_G4Z2jER_SdwZQv4M3A,The Blair House,OPERATIONAL,"{'location': {'lat': 1.2770421, 'lng': 103.8365577}, 'viewport': {'northeast': {'lat': 1.278450080291502, 'lng': 103.8378532802915}, 'southwest': {'lat': 1.275752119708498, 'lng': 103.8351553197085}}}",,3.0,4.3,"['shopping_mall', 'point_of_interest', 'establishment']","Kampong Bahru Road, #169349 23",,1.2770421,103.8365577
ChIJJRadj2wZ2jERqI_61mafRPU,Tanjong Pagar Plaza,OPERATIONAL,"{'location': {'lat': 1.2755282, 'lng': 103.842967}, 'viewport': {'northeast': {'lat': 1.276411380291502, 'lng': 103.8441855802915}, 'southwest': {'lat': 1.273713419708498, 'lng': 103.8414876197085}}}",,2183.0,4.1,"['shopping_mall', 'point_of_interest', 'establishment']","SG, Tanjong Pagar Plaza, #1",,1.2755282,103.842967
ChIJvUUHX2sZ2jERFw3Rybv_wwY,100 AM,OPERATIONAL,"{'location': {'lat': 1.2749931, 'lng': 103.8435825}, 'viewport': {'northeast': {'lat': 1.276195530291502, 'lng': 103.8447891802915}, 'southwest': {'lat': 1.273497569708498, 'lng': 103.8420912197085}}}",,4181.0,4.1,"['shopping_mall', 'point_of_interest', 'establishment']",100 Tras Street,,1.2749931,103.8435825
ChIJHVm8JRMZ2jERK8ACFl8Gp04,Guoco Tower,OPERATIONAL,"{'location': {'lat': 1.276951, 'lng': 103.8458291}, 'viewport': {'northeast': {'lat': 1.278364030291502, 'lng': 103.8468286302915}, 'southwest': {'lat': 1.275666069708498, 'lng': 103.8441306697085}}}",,3442.0,4.3,"['shopping_mall', 'point_of_interest', 'establishment']","1 Wallich Street, Singapore",,1.276951,103.8458291
ChIJJdZoM2sZ2jERy8xMysHGueM,AlfaShip Agency Singapore,OPERATIONAL,"{'location': {'lat': 1.2735406, 'lng': 103.8447021}, 'viewport': {'northeast': {'lat': 1.274904480291502, 'lng': 103.8460356302915}, 'southwest': {'lat': 1.272206519708498, 'lng': 103.8433376697085}}}",,1.0,5.0,"['shopping_mall', 'point_of_interest', 'establishment']",Anson Road,,1.2735406,103.8447021
