street,latitude,longitude,lrt_stations,lrt_latitude,lrt_longitude,lrt_nearest_distance_m
SIN MING WALK,1.36497333869878,103.83068715829076,FERNVALE LRT STATION (SW5),1.39188589234766,103.87630862552,5884.9503275213
TAMPINES LANE,1.3450856145544043,103.94795095439748,RIVIERA LRT STATION (PE4),1.39451978540251,103.916169381157,6510.678292791212
SHUNFU ROAD,1.3518148538609245,103.8382982223072,FERNVALE LRT STATION (SW5),1.39188589234766,103.87630862552,6125.858997472266
DAKOTA CRESCENT,1.306828432359795,103.88897282542548,RANGGUNG LRT STATION (SE5),1.38423355918277,103.897194667804,8607.837759298778
MARTIN PLACE,1.29349666394026,103.83810491011177,FERNVALE LRT STATION (SW5),1.39188589234766,103.87630862552,11680.645586593655
TAMPINES STREET 86,1.3539046355161577,103.92860647866084,KANGKAR LRT STATION (SE4),1.38395911688913,103.90222537044,4434.374521350503
FLORA DRIVE,1.3550944641778178,103.96472821596232,RIVIERA LRT STATION (PE4),1.39451978540251,103.916169381157,6943.212187629341
UPPER PAYA LEBAR ROAD,1.3425768101510769,103.88227640215216,RANGGUNG LRT STATION (SE5),1.38423355918277,103.897194667804,4896.261033633525
MARINE PARADE ROAD,1.2999959196569837,103.90310061621813,KANGKAR LRT STATION (SE4),1.38395911688913,103.90222537044,9284.738669844586
PASIR RIS GROVE,1.3717875550656364,103.94343399779616,RIVIERA LRT STATION (PE4),1.39451978540251,103.916169381157,3940.1398217459728
POTONG PASIR AVENUE 1,1.3364923386851888,103.86562886475464,RENJONG LRT STATION (SW8),1.38670058991904,103.89062131608,6209.525116853191
BEDOK RESERVOIR ROAD,1.3378707096893736,103.92851470697272,KANGKAR LRT STATION (SE4),1.38395911688913,103.90222537044,5876.328419527083
TOH TUCK ROAD,1.339686713147492,103.77094144115544,PENDING LRT STATION (BP8),1.37613574334988,103.771261175571,4030.5073121231667
FLORA DRIVE,1.3541073056171706,103.96774997162686,RIVIERA LRT STATION (PE4),1.39451978540251,103.916169381157,7274.579217494068
MOUNT VERNON ROAD,1.3410912750446702,103.88145756437616,RANGGUNG LRT STATION (SE5),1.38423355918277,103.897194667804,5081.7808949654445
PRINCE CHARLES CRESCENT,1.292065647242285,103.81729521990172,PENDING LRT STATION (BP8),1.37613574334988,103.771261175571,10614.266159130106
COMMONWEALTH AVENUE,1.2954634291932612,103.80651578015956,PENDING LRT STATION (BP8),1.37613574334988,103.771261175571,9745.047454587242
WOODLEIGH LANE,1.3385388391226674,103.8700799859202,RENJONG LRT STATION (SW8),1.38670058991904,103.89062131608,5795.395013585008
TAMPINES STREET 86,1.3512844009932277,103.92717471706622,KANGKAR LRT STATION (SE4),1.38395911688913,103.90222537044,4556.658697666694
CHESTNUT AVENUE,1.37084569109685,103.77571903637534,PENDING LRT STATION (BP8),1.37613574334988,103.771261175571,766.9967815043955
MOUNT SOPHIA,1.3009648346284366,103.8459565572612,FERNVALE LRT STATION (SW5),1.39188589234766,103.87630862552,10605.870422045122
JALAN EUNOS,1.3275838505606163,103.9074288852449,KANGKAR LRT STATION (SE4),1.38395911688913,103.90222537044,6260.534374610851
YIO CHU KANG ROAD,1.3851278501653022,103.83926218690694,FERNVALE LRT STATION (SW5),1.39188589234766,103.87630862552,4189.963728169057
WEST COAST VALE,1.320614300534905,103.75329091330204,TECK WHYE LRT STATION (BP4),1.37668467920808,103.753712232337,6200.15936118286
FLORA DRIVE,1.357741574302462,103.9662137012406,RIVIERA LRT STATION (PE4),1.39451978540251,103.916169381157,6896.074707347795
DUNDEE ROAD,1.294336667488726,103.80702012733846,PENDING LRT STATION (BP8),1.37613574334988,103.771261175571,9881.693327145633
DEPOT ROAD,1.282201354238727,103.803023755865,PENDING LRT STATION (BP8),1.37613574334988,103.771261175571,10971.804929737724
FERNVALE CLOSE,1.394561041720033,103.8815805647222,LAYAR LRT STATION (SW6),1.39207983659997,103.880029600546,324.1363534507841
PASIR RIS GROVE,1.37258148698092,103.942726005987,RIVIERA LRT STATION (PE4),1.39451978540251,103.916169381157,3823.4987596385827
KANDIS LINK,1.4561829210849004,103.83676007285192,THANGGAM LRT STATION (SW4),1.39731815581938,103.875635154729,7815.5540918944425
