street,latitude,longitude,mrt_stations,mrt_latitude,mrt_longitude,mrt_nearest_distance_m
BROOKVALE DRIVE,1.329273637813376,103.77013712751192,BEAUTY WORLD MRT STATION (DT5),1.34122317558549,103.775794285083,1463.6457985430588
PASIR RIS GROVE,1.37258148698092,103.942726005987,PASIR RIS MRT STATION (EW1),1.37304331635804,103.949284527763,731.6688507126903
BEATTY ROAD,1.3129169524829627,103.8590470682134,BENDEMEER MRT STATION (DT23),1.31367252847691,103.862977620945,445.34016505137225
BEDOK RISE,1.3270811524845063,103.947772361153,TANAH MERAH MRT STATION (EW4),1.32718729074675,103.946348600798,158.88441233928714
CANBERRA DRIVE,1.4448907493299976,103.8251533736201,CANBERRA MRT STATION (NS12),1.44307664075699,103.829702590959,544.5496573620004
ROSEWOOD DRIVE,1.4314454595391095,103.78699843127166,WOODLANDS MRT STATION (TE2),1.43605761708128,103.787938777173,520.6150088828769
HANDY ROAD,1.3001355033193769,103.84675039539806,DHOBY GHAUT MRT STATION (CC1),1.29891164362677,103.84629250696,144.60464469571815
BEDOK SOUTH AVENUE 3,1.3248904018879364,103.94484144674205,TANAH MERAH MRT STATION (EW4),1.32718729074675,103.946348600798,304.36649518568737
MOUNT SOPHIA,1.3005048366887535,103.84769412298188,DHOBY GHAUT MRT STATION (CC1),1.29891164362677,103.84629250696,235.30168589836927
LORONG CHUAN,1.3523242139642255,103.8653232116615,LORONG CHUAN MRT STATION (CC14),1.35161217074555,103.864151938651,152.28278993406843
WEST COAST CRESCENT,1.2976821284999007,103.76509723182168,CLEMENTI MRT STATION (EW23),1.31511625277378,103.765191452888,1927.805620525041
BEDOK SOUTH AVENUE 1,1.3152296527664915,103.93396503008545,SIGLAP MRT STATION (TE28),1.31000869432289,103.930025826708,724.8969104712502
DAKOTA CRESCENT,1.306828432359795,103.88897282542548,DAKOTA MRT STATION (CC8),1.30854798388121,103.889064718377,190.41408077207117
ROSEWOOD DRIVE,1.4272872745580247,103.78605033238148,WOODLANDS SOUTH MRT STATION (TE3),1.42739605281442,103.79326432221,802.9005027898089
BUKIT DRIVE,1.3482758033093507,103.77454073794398,BEAUTY WORLD MRT STATION (DT5),1.34122317558549,103.775794285083,792.2237685476595
TAMPINES AVENUE 1,1.3479372447310638,103.92627263230976,TAMPINES WEST MRT STATION (DT31),1.34551530560119,103.938436971222,1379.9935444109756
BAYSHORE ROAD,1.31261384042124,103.9393340072967,BAYSHORE MRT STATION (TE29),1.31312248291264,103.942309776767,335.91726247768884
FERNVALE LINK,1.392534673439053,103.88056693152794,SENGKANG MRT STATION (NE16),1.39169462601522,103.895484694279,1662.7482438857294
