target_price,area,floorRange,noOfUnits,typeOfSale,district,typeOfArea,street,project,marketSegment,contract_date_dt,days_since_1st_trans,age_bin,tenure_bin,latitude,longitude
1984000,91.0,Floor 06-10,1,1,21,Strata,BROOKVALE DRIVE,KI RESIDENCES AT BROOKVALE,OCR,2022-05-01,0,"(138.9, 158.6]",999 yrs,1.329273637813376,103.77013712751193
1720000,143.0,Floor 06-10,1,3,18,Strata,PASIR RIS GROVE,LIVIA,OCR,2022-05-01,0,"(0.803, 20.7]",99 yrs,1.3725814869809199,103.94272600598701
1488000,65.0,Floor 06-10,1,1,21,Strata,BROOKVALE DRIVE,KI RESIDENCES AT BROOKVALE,OCR,2022-05-01,0,"(138.9, 158.6]",999 yrs,1.329273637813376,103.77013712751193
1230000,61.0,Floor 11-15,1,3,8,Strata,BEATTY ROAD,STURDEE RESIDENCES,RCR,2022-05-01,0,"(0.803, 20.7]",99 yrs,1.3129169524829627,103.85904706821341
815000,39.0,Floor 06-10,1,3,8,Strata,BEATTY ROAD,STURDEE RESIDENCES,RCR,2022-05-01,0,"(0.803, 20.7]",99 yrs,1.3129169524829627,103.85904706821341
990000,64.0,Floor 01-05,1,3,16,Strata,BEDOK RISE,THE GLADES,OCR,2022-05-01,0,"(0.803, 20.7]",99 yrs,1.3270811524845063,103.947772361153
682088,57.0,Floor 01-05,1,3,27,Strata,CANBERRA DRIVE,CANBERRA RESIDENCES,OCR,2022-05-01,0,"(0.803, 20.7]",99 yrs,1.4448907493299976,103.8251533736201
1800000,200.0,Floor 16-20,1,3,25,Strata,ROSEWOOD DRIVE,ROSEWOOD,OCR,2022-05-01,0,"(20.7, 40.4]",99 yrs,1.4314454595391095,103.78699843127166
1383000,48.0,Floor 06-10,1,1,9,Strata,HANDY ROAD,HAUS ON HANDY,CCR,2022-05-01,0,"(0.803, 20.7]",99 yrs,1.3001355033193769,103.84675039539806
1396000,48.0,Floor 06-10,1,1,9,Strata,HANDY ROAD,HAUS ON HANDY,CCR,2022-05-01,0,"(0.803, 20.7]",99 yrs,1.3001355033193769,103.84675039539806
2242000,103.0,Floor 01-05,1,1,21,Strata,BROOKVALE DRIVE,KI RESIDENCES AT BROOKVALE,OCR,2022-05-01,0,"(138.9, 158.6]",999 yrs,1.329273637813376,103.77013712751193
2221000,103.0,Floor 06-10,1,1,21,Strata,BROOKVALE DRIVE,KI RESIDENCES AT BROOKVALE,OCR,2022-05-01,0,"(138.9, 158.6]",999 yrs,1.329273637813376,103.77013712751193
